"";"banalfreq";"X.gr_01";"X.gr_02"
"prazo";12;-0,5731;0,5731
"estrangeiro";12;-0,1938;0,1938
"atingir";16;1,6994;-1,6994
"nascer";21;-0,4662;0,4662
"peça";13;-0,6208;0,6208
"criança";53;1,3482;-1,3482
"milhar";13;1,41;-1,41
"sede";10;0,553;-0,553
"preferir";12;-0,1938;0,1938
"sentir";27;1,7444;-1,7444
"realidade";10;-0,4775;0,4775
"surgir";10;1,8321;-1,8321
"até";151;-0,4152;0,4152
"urbano";10;-0,4775;0,4775
"reginaldo";11;-0,1676;0,1676
"bater";23;0,362;-0,362
"ato";12;-0,1938;0,1938
"deixar";71;-1,2687;1,2687
"adotar";11;-0,5253;0,5253
"interpretar";10;1,8321;-1,8321
"compromisso";18;-0,8596;0,8596
"vargas";17;1,0319;-1,0319
"investigação";32;-1,5284;1,5284
"este";46;-0,8888;0,8888
"esta";13;-0,2209;0,2209
"reportagem";13;-0,6208;0,6208
"longo";48;-0,9536;0,9536
"cabeçalho";10;-0,4775;0,4775
"aceitar";13;0,3993;-0,3993
"equipamento";18;-0,8596;0,8596
"professor";18;0,242;-0,242
"repórter";12;-0,1938;0,1938
"policial";46;-1,3945;1,3945
"comprar";20;-0,4334;0,4334
"novembro";18;0,542;-0,542
"preço";12;-0,1938;0,1938
"mandar";16;1,1127;-1,1127
"medida";23;-0,5333;0,5333
"formar";10;1,111;-1,111
"discurso";19;-0,9074;0,9074
"cobrir";14;0,3601;-0,3601
"roteiro";10;-0,4775;0,4775
"algum";103;0,5627;-0,5627
"destacar";19;1,3879;-1,3879
"municipal";12;-0,5731;0,5731
"ratton";19;-0,9074;0,9074
"complexo";11;1,0064;-1,0064
"maneira";41;-1,1974;1,1974
"muita";54;-1,1541;1,1541
"conhecido";28;0,7944;-0,7944
"o";3417;0,4328;-0,4328
"sob";22;0,3919;-0,3919
"novo";158;-1,2727;1,2727
"tela";11;-0,5253;0,5253
"altitude";13;0,3993;-0,3993
"verde";13;-0,6208;0,6208
"série";31;-0,2265;0,2265
"condenar";15;0,6986;-0,6986
"moderno";15;-0,7164;0,7164
"time";33;-1,5762;1,5762
"entrevista";26;-0,6372;0,6372
"corpo";36;0,2803;-0,2803
"ver";141;-0,7167;0,7167
"vez";103;0,2909;-0,2909
"comum";11;0,4946;-0,4946
"minuto";23;0,362;-0,362
"irmão";20;-0,1848;0,1848
"querer";101;-0,4143;0,4143
"mudança";25;-0,6022;0,6022
"século";13;0,3993;-0,3993
"recentemente";10;-0,1426;0,1426
"militar";16;-0,3077;0,3077
"saneamento";12;-0,5731;0,5731
"filme";38;-1,0811;1,0811
"visual";12;-0,5731;0,5731
"só";79;-0,2523;0,2523
"tirar";33;0,9114;-0,9114
"trazer";24;-1,1462;1,1462
"colocar";30;0,7054;-0,7054
"litro";16;-0,7641;0,7641
"justiça";37;0,2622;-0,2622
"padrão";19;-0,401;0,401
"natural";17;0,5891;-0,5891
"sp";14;-0,249;0,249
"se";591;1,6179;-1,6179
"museu";14;-0,249;0,249
"crédito";12;-0,5731;0,5731
"organizar";23;-0,5333;0,5333
"envolvido";10;-0,1426;0,1426
"trauma";15;-0,7164;0,7164
"internet";28;1,6593;-1,6593
"porcento";69;-1,2057;1,2057
"brasil";169;0,5133;-0,5133
"preparação";10;-0,1426;0,1426
"nota";19;0,2198;-0,2198
"sala";14;-0,249;0,249
"olho";17;-0,3382;0,3382
"estação";22;-1,0507;1,0507
"disputa";11;-0,5253;0,5253
"época";28;-0,7084;0,7084
"vender";26;-1,2418;1,2418
"droga";26;0,2859;-0,2859
"entregar";14;-0,6686;0,6686
"pessoa";226;1,9488;-1,9488
"isabella";28;1,1895;-1,1895
"fim";29;-0,3912;0,3912
"ouvido";10;0,553;-0,553
"área";63;-0,4585;0,4585
"putin";11;-0,1676;0,1676
"oportunidade";12;0,4438;-0,4438
"costa";12;-0,1938;0,1938
