"";"X.gr_01";"X.gr_02"
"prazo";0;0,19
"estrangeiro";0,14;0,18
"atingir";0,7;0,18
"waack";0,84;0,08
"nascer";0,14;0,32
"peça";0;0,21
"criança";1,39;0,7
"milhar";0,56;0,15
"sede";0,28;0,13
"preferir";0,14;0,18
"sentir";0,98;0,32
"realidade";0;0,16
"surgir";0,56;0,1
"brasileiro";1,95;0,81
"até";1,95;2,22
"urbano";0;0,16
"reginaldo";0,14;0,16
"bater";0,42;0,32
"ato";0,14;0,18
"deixar";0,42;1,1
"adotar";0;0,18
"interpretar";0,56;0,1
"compromisso";0;0,29
"vargas";0,56;0,21
"investigação";0;0,52
"este";0,28;0,71
"esta";0,14;0,19
"reportagem";0;0,21
"longo";0,28;0,75
"receber";2,09;0,91
"cabeçalho";0;0,16
"aceitar";0,28;0,18
"equipamento";0;0,29
"professor";0,28;0,26
"repórter";0,14;0,18
"policial";0,14;0,73
"comprar";0,14;0,31
"novembro";0,42;0,24
"preço";0,14;0,18
"mandar";0,56;0,19
"medida";0,14;0,36
"risco";1,12;0,34
"formar";0,42;0,11
"discurso";0;0,31
"cobrir";0,28;0,19
"roteiro";0;0,16
"algum";1,81;1,46
"destacar";0,7;0,23
"municipal";0;0,19
"ratton";0;0,31
"complexo";0,42;0,13
"maneira";0,14;0,65
"uma";15,9;12,35
"muita";0,28;0,84
"conhecido";0,7;0,37
"o";50,47;49,51
"sob";0,42;0,31
"novo";1,39;2,4
"tela";0;0,18
"altitude";0,28;0,18
"verde";0;0,21
"série";0,42;0,45
"condenar";0,42;0,19
"moderno";0;0,24
"time";0;0,53
"entrevista";0,14;0,41
"corpo";0,56;0,52
"ver";1,53;2,11
"vez";1,53;1,49
"comum";0,28;0,15
"minuto";0,42;0,32
"irmão";0,28;0,29
"querer";1,25;1,49
"mudança";0,14;0,39
"século";0,28;0,18
"recentemente";0,14;0,15
"militar";0,14;0,24
"saneamento";0;0,19
"filme";0,14;0,6
"visual";0;0,19
"só";1,12;1,15
"tirar";0,84;0,44
"trazer";0;0,39
"colocar";0,7;0,41
"litro";0;0,26
"justiça";0,56;0,53
"padrão";0,14;0,29
"natural";0,42;0,23
"sp";0,14;0,21
"se";10,74;8,33
"museu";0,14;0,21
"crédito";0;0,19
"organizar";0,14;0,36
"envolvido";0,14;0,15
"trauma";0;0,24
"internet";0,98;0,34
"porcento";0,42;1,07
"brasil";2,79;2,41
"preparação";0,14;0,15
"nota";0,28;0,28
"sala";0,14;0,21
"olho";0,14;0,26
"estação";0;0,36
"disputa";0;0,18
"época";0,14;0,44
"vender";0;0,42
"droga";0,42;0,37
"entregar";0;0,23
"pessoa";4,88;3,1
"isabella";0,84;0,36
"fim";0,28;0,44
"ouvido";0,28;0,13
"área";0,7;0,94
"otto";0,98;0,19
"putin";0,14;0,16
"oportunidade";0,28;0,16
"costa";0,14;0,18
"processamento";0;0,18
"necessário";0,42;0,28
"processo";0,84;0,65
"ocupação";0;0,34
"solução";0;0,28
"definir";0;0,18
"hoje";0,7;1,23
"ouro";0;0,16
"mensal";0;0,16
"aí";0;0,68
"diretor";0,42;0,45
"completo";0,14;0,15
"rússia";0,42;0,19
"emissor";0,14;0,15
"estúdio";0,14;0,23
"ao";4,04;4,98
"ar";0,7;0,15
"getúlio";0,42;0,37
"relação";0,28;0,62
"pedir";1,25;0,39
"pesquisa";0,42;0,28
"apartamento";1,12;0,16
"oito";0,14;0,21
"te";0,56;0,15
"jatobá";0,28;0,15
"cientista";0,28;0,13
"hash";0;0,16
"social";2,65;0,86
"via";0;0,23
"vir";0,56;1
"horário";0,14;0,15
"reunião";0,14;0,16
"silva";0,14;0,28
"diferente";0,28;0,73
"6";0,14;0,18
"ponte";0,28;0,15
"ponto";0;0,79
"impacto";0;0,21
"facção";0;0,16
"não";13,8;12,06
"plano";0;0,26
"fundamental";0,14;0,29
"francês";0;0,41
"papel";0,28;0,24
"passagem";0;0,16
"buscar";0;0,23
"parceria";0;0,24
"subir";0,14;0,18
"fossar";0,14;0,34
"nossa";0,14;0,68
"nosso";0,98;0,81
"si";0,28;0,29
"influenciar";0,28;0,16
"aprovar";0;0,21
"divulgar";0,84;0,28
"avenida";0;0,49
"nome";0,14;0,52
"contra";1,25;0,89
"talvez";0,14;0,34
"birri";0;0,41
"revelar";0,84;0,26
"tentar";1,25;0,83
"sentar";0,14;0,23
"defender";0;0,24
"assumir";0,14;0,15
"córrego";0;0,39
"seu";4,88;3,22
"ser";26,21;29,49
"supermercado";0,14;0,19
"sem";1,53;1,41
"ninguém";0,28;0,28
"pagar";0,14;0,41
"agente";0,14;0,31
"belo";0;0,31
"imaginar";0;0,19
"dizer";6;3,94
"conjunto";0;0,19
"impedir";0,14;0,18
"livro_razão";0;0,16
"moto";0,7;0,24
"campanha";0;0,19
"próprio";1,53;0,88
"euro";0,28;0,26
"conversar";0,28;0,23
"tanto";0,42;0,62
"passageiro";0,98;0,06
"ajudar";0,56;0,49
"tomar";0,42;0,49
"tragédia";0,14;0,18
"alexandra";0;0,26
"alexandre";0,14;0,21
"aquele";0,42;0,5
"aquela";0;0,36
"idade";0,7;0,21
"jornal";2,51;0,84
"jeito";0;0,16
"anterior";0;0,16
"dois";1,25;1,7
"terrorista";0;0,47
"escolher";0,28;0,13
"ator";0,7;0,26
"região";0;0,83
"up";0;0,23
"um";18,82;15,77
"salário";0,14;0,28
"estilo";0,42;0,13
"diverso";1,25;0,42
"imprensa";0,42;0,23
"pagamento";0;0,21
"elemento";0;0,19
"ataque";0,28;0,57
"extremamente";0;0,18
"roubar";0,42;0,11
"difícil";0,7;0,42
"camada";0;0,18
"lei";0,28;0,45
"ler";0,98;0,29
"oficial";0,42;0,28
"agência";0,14;0,29
"causar";0,7;0,16
"londres";0,7;0,31
"menina";0,84;0,5
"menino";0,42;0,19
"período";0,14;0,26
"cliente";0,28;0,32
"quilômetro";0;0,28
"capacidade";0,14;0,34
"stand";0;0,23
"especial";0,14;0,29
"estudar";0,28;0,32
"isso";2,37;3,37
"volta";0,28;0,36
"econômico";0,28;0,37
"2015";0,7;0,44
"2016";0,7;0,34
"empatia";0;0,19
"2010";0,28;0,13
"2013";0,56;0,15
"2012";0,28;0,29
"nada";1,39;0,52
"gritar";0,28;0,15
"veículo";0,42;0,18
"bar";0,14;0,16
"através";1,53;0,29
"contrário";0,28;0,23
"além";0,7;1,33
"hídrico";0;0,39
"tempo";0,98;1,33
"david";0;0,18
"festival";0;0,16
"guerra";0;0,34
"haver";2,93;3,08
"roberto";0,42;0,23
"serviço";0,7;0,58
"trás";0,42;0,15
"principal";0,28;0,55
"terminar";0,14;0,15
"tudo";1,67;1,46
"familiar";0;0,23
"autor";0;0,42
"identificar";0,42;0,32
"parque";0;0,19
"confirmar";0,98;0,21
"ambiental";0,14;0,29
"vídeo";2,09;0,47
"etc";0,56;0,1
"equipa";0;0,47
"2017";0,56;0,41
"site";0,98;0,18
"romance";0;0,18
"manancial";0;0,23
"momento";1,53;1,1
"rcifrão";0,28;0,71
"nacional";0,28;0,73
"importante";0,14;0,75
"usuário";0;0,21
"análise";0;0,28
"sábado";0;0,18
"frança";0;0,28
"pernambuco";0,28;0,19
"banco";0;0,42
"dezembro";0,14;0,18
"lidar";0;0,26
"abastecimento";0;0,16
"alegar";0,7;0,24
"transporte";0,14;0,18
"colega";0,28;0,13
"tão";0,56;0,45
"coisa";1,39;1,26
"quarto";0,28;0,44
"rural";0,14;0,21
"retirar";0,14;0,18
"afirmar";1,12;1,04
"quadrado";0;0,18
"exibir";0,14;0,15
"hora";0,42;0,63
"interno";0,56;0,11
"total";0,14;0,26
"continuar";0,56;0,45
"custo";0;0,21
"jornalista";0,84;0,31
"passado";0,14;0,58
"neto";0,56;0,44
"teatro";0,14;0,23
"proteção";0;0,24
"contemporâneo";0;0,18
"valor";0;0,36
"promover";0,28;0,18
"carlos";0,28;0,23
"procurar";0,28;0,41
"logo";0,42;0,32
"televisão";0;0,19
"forte";0,42;0,26
"livro";0;0,52
"realizar";0,7;0,52
"órgão";0,28;0,16
"acusar";0,84;0,1
"grave";0,14;0,18
"responder";0,14;0,28
"reserva";0,14;0,23
"prédio";0,28;0,42
"de";105,55;113,71
"propriedade";0;0,24
"jovem";1,25;0,66
"olhar";0,14;0,34
"sentido";0;0,36
"montanha";0;0,16
"com";12,83;13,71
"jogador";0;0,37
"observar";0,14;0,19
"assegurar";0,14;0,16
"função";0,14;0,24
"evitar";0,42;0,44
"aéreo";0,56;0,1
"aluguel";0;0,19
"depois";0,98;1,31
"mil";1,12;0,92
"recurso";0,42;0,7
"campo";0,14;0,53
"the";0,28;0,29
"antes";0,42;0,81
"oliveira";0;0,18
"comigo";0,14;0,15
"josé";0,14;0,15
"queda";0,14;0,19
"questão";0,56;0,7
"moeda";0;0,18
"esposo";0,42;0,16
"artigo";0,42;0,11
"ácido";0;0,16
"ganhar";0,56;0,47
"inclusive";0;0,26
"mineiro";0;0,29
"esquecer";0,42;0,11
"palestra";0,14;0,23
"zona";0;0,21
"muito";2,37;3,11
"funcionar";0;0,28
"espécie";0,56;0,28
"doença";1,67;0,06
"joão";0,28;0,21
"participar";0,28;0,49
"telejornal";0;0,21
"mudar";0,28;0,65
"participação";0;0,26
"italiano";0,7;0,29
"market";0;0,16
"ministério";0;0,42
"diálogo";0;0,16
"instituição";0;0,16
"pequeno";0,28;0,68
"você";2,65;2,24
"perder";0,7;0,42
"noite";0,56;0,52
"recente";0,14;0,26
"ligar";0,28;0,26
"forma";0,14;1,04
"perda";0,28;0,23
"desde";0,7;0,91
"em";48,52;47,22
"el";0;0,16
"mulher";2,23;1
"eu";2,23;3,6
"precisar";0,7;1,04
"cara";0,42;0,19
"investimento";0;0,29
"qual";0;1,07
"objectivo";0,42;0,23
"deus";1,12;0,1
"graça";0,28;0,19
"seguir";0,42;0,76
"pedreira";0;0,16
"lhe";0,28;0,16
"internacional";0;0,23
"ressaltar";0,14;0,21
"contar";1,25;1,41
"3";0,98;0,58
"estar";8,23;8,1
"manifestar";0,14;0,24
"ambiente";0,28;0,6
"seguida";0,28;0,18
"comer";1,67;0,28
"bitcoins";0;0,19
"característica";0;0,23
"vaticano";1,67;0,03
"habitante";0;0,32
"conseguir";2,23;1,33
"vista";0,42;0,26
"taxa";0,28;0,28
"real";0,42;0,34
"lado";0,7;0,6
"virar";0;0,23
"central";0;0,23
"ocupar";0;0,19
"transformar";0,14;0,31
"sexta_feira";0,28;0,16
"previdência";0;0,29
"sucesso";0;0,24
"fiscal";0,14;0,15
"famoso";0,14;0,28
"correr";0,28;0,24
"entanto";0,28;0,31
"coordenador";0;0,16
"música";0,42;0,34
"governador";0;0,23
"fé";0,14;0,15
"a";54,94;57,95
"convencer";0,14;0,15
"paulo";0,42;0,94
"polícia";1,95;1,33
"todo";3,76;3,37
"somente";0,56;0,24
"7";0,42;0,24
"base";0,14;0,18
"suficiente";0,14;0,15
"país";0,98;1,75
"qualidade";0,84;0,42
"hotel";0,7;0,23
"minha";0,7;1,3
"setor";0,42;0,23
"certo";0,42;0,42
"quem";1,12;1,1
"lacovara";0;0,18
"chão";0,14;0,18
"parecer";0,28;0,47
"pessoal";0,42;0,24
"chegar";1,81;1,23
"regra";0,28;0,26
"cantar";0,14;0,19
"reduzir";0,28;0,24
"vilarejo";0;0,18
"conter";0,42;0,15
"prevenção";0;0,16
"construção";0,42;0,23
"escolha";0;0,16
"trabalhador";0,28;0,16
"localizar";0,42;0,26
"apresentar";0,56;0,6
"ocorrer";0,98;0,65
"informar";1,81;0,28
"marco";0;0,19
"óleo";0;0,32
"marca";0;0,44
"popular";0;0,18
"economia";0,14;0,19
"permitir";0,28;0,49
"autoridade";0,42;0,23
"rua";0,7;0,66
"tocar";0,14;0,21
"bloco";0;0,6
"preocupação";0;0,19
"governo";0,7;0,86
"tamanho";0,14;0,15
"lembrar";0,28;0,36
"manhattan";0;0,19
"william";0,28;0,13
"visita";0,14;0,15
"g1";0;0,75
"organização";0;0,16
"atacar";0,28;0,18
"acidente";0,14;0,26
"claro";0,14;0,26
"violento";0,14;0,18
"coleta";0;0,24
"blockchain";0;0,6
"trocar";0;0,19
"ferida";0,28;0,13
"gosto";0,28;0,23
"alguém";0,56;0,18
"senhor";0,7;0,11
"modo";0,14;0,24
"globo";1,39;0,76
"causa";0,7;0,39
"jogar";0,56;0,29
"maílson";0;0,29
"único";0;0,6
"final";0,14;0,31
"mariana";0;0,19
"quando";2,51;2,25
"bem";0,7;1,49
"igreja";1,39;0,03
"pressão";0,14;0,15
"mês";1,53;0,81
"cultura";0,42;0,36
"necessidade";0,28;0,19
"tornar";0,14;0,53
"passo";0,28;0,13
"atuar";0,14;0,31
"tiro";0,56;0,11
"atual";0;0,39
"gênero";0,14;0,19
"médio";0,28;0,26
"escrever";0,84;0,49
"humano";0,98;0,37
"futebol";0;0,49
