"";"*gr_01";"*gr_02"
"prazo";0;12
"estrangeiro";1;11
"atingir";5;11
"waack";6;5
"nascer";1;20
"peça";0;13
"criança";10;43
"milhar";4;9
"sede";2;8
"preferir";1;11
"sentir";7;20
"realidade";0;10
"surgir";4;6
"brasileiro";14;50
"até";14;137
"urbano";0;10
"reginaldo";1;10
"bater";3;20
"ato";1;11
"deixar";3;68
"adotar";0;11
"interpretar";4;6
"compromisso";0;18
"vargas";4;13
"investigação";0;32
"este";2;44
"esta";1;12
"reportagem";0;13
"longo";2;46
"receber";15;56
"cabeçalho";0;10
"aceitar";2;11
"equipamento";0;18
"professor";2;16
"repórter";1;11
"policial";1;45
"comprar";1;19
"novembro";3;15
"preço";1;11
"mandar";4;12
"medida";1;22
"risco";8;21
"formar";3;7
"discurso";0;19
"cobrir";2;12
"roteiro";0;10
"algum";13;90
"destacar";5;14
"municipal";0;12
"ratton";0;19
"complexo";3;8
"maneira";1;40
"uma";114;762
"muita";2;52
"conhecido";5;23
"o";362;3055
"sob";3;19
"novo";10;148
"tela";0;11
"altitude";2;11
"verde";0;13
"série";3;28
"condenar";3;12
"moderno";0;15
"time";0;33
"entrevista";1;25
"corpo";4;32
"ver";11;130
"vez";11;92
"comum";2;9
"minuto";3;20
"irmão";2;18
"querer";9;92
"mudança";1;24
"século";2;11
"recentemente";1;9
"militar";1;15
"saneamento";0;12
"filme";1;37
"visual";0;12
"só";8;71
"tirar";6;27
"trazer";0;24
"colocar";5;25
"litro";0;16
"justiça";4;33
"padrão";1;18
"natural";3;14
"sp";1;13
"se";77;514
"museu";1;13
"crédito";0;12
"organizar";1;22
"envolvido";1;9
"trauma";0;15
"internet";7;21
"porcento";3;66
"brasil";20;149
"preparação";1;9
"nota";2;17
"sala";1;13
"olho";1;16
"estação";0;22
"disputa";0;11
"época";1;27
"vender";0;26
"droga";3;23
"entregar";0;14
"pessoa";35;191
"isabella";6;22
"fim";2;27
"ouvido";2;8
"área";5;58
"otto";7;12
"putin";1;10
"oportunidade";2;10
"costa";1;11
"processamento";0;11
"necessário";3;17
"processo";6;40
"ocupação";0;21
"solução";0;17
"definir";0;11
"hoje";5;76
"ouro";0;10
"mensal";0;10
"aí";0;42
"diretor";3;28
"completo";1;9
"rússia";3;12
"emissor";1;9
"estúdio";1;14
"ao";29;307
"ar";5;9
"getúlio";3;23
"relação";2;38
"pedir";9;24
"pesquisa";3;17
"apartamento";8;10
"oito";1;13
"te";4;9
"jatobá";2;9
"cientista";2;8
"hash";0;10
"social";19;53
"via";0;14
"vir";4;62
"horário";1;9
"reunião";1;10
"silva";1;17
"diferente";2;45
"6";1;11
"ponte";2;9
"ponto";0;49
"impacto";0;13
"facção";0;10
"não";99;744
"plano";0;16
"fundamental";1;18
"francês";0;25
"papel";2;15
"passagem";0;10
"buscar";0;14
"parceria";0;15
"subir";1;11
"fossar";1;21
"nossa";1;42
"nosso";7;50
"si";2;18
"influenciar";2;10
"aprovar";0;13
"divulgar";6;17
"avenida";0;30
"nome";1;32
"contra";9;55
"talvez";1;21
"birri";0;25
"revelar";6;16
"tentar";9;51
"sentar";1;14
"defender";0;15
"assumir";1;9
"córrego";0;24
"seu";35;199
"ser";188;1820
"supermercado";1;12
"sem";11;87
"ninguém";2;17
"pagar";1;25
"agente";1;19
"belo";0;19
"imaginar";0;12
"dizer";43;243
"conjunto";0;12
"impedir";1;11
"livro_razão";0;10
"moto";5;15
"campanha";0;12
"próprio";11;54
"euro";2;16
"conversar";2;14
"tanto";3;38
"passageiro";7;4
"ajudar";4;30
"tomar";3;30
"tragédia";1;11
"alexandra";0;16
"alexandre";1;13
"aquele";3;31
"aquela";0;22
"idade";5;13
"jornal";18;52
"jeito";0;10
"anterior";0;10
"dois";9;105
"terrorista";0;29
"escolher";2;8
"ator";5;16
"região";0;51
"up";0;14
"um";135;973
"salário";1;17
"estilo";3;8
"diverso";9;26
"imprensa";3;14
"pagamento";0;13
"elemento";0;12
"ataque";2;35
"extremamente";0;11
"roubar";3;7
"difícil";5;26
"camada";0;11
"lei";2;28
"ler";7;18
"oficial";3;17
"agência";1;18
"causar";5;10
"londres";5;19
"menina";6;31
"menino";3;12
"período";1;16
"cliente";2;20
"quilômetro";0;17
"capacidade";1;21
"stand";0;14
"especial";1;18
"estudar";2;20
"isso";17;208
"volta";2;22
"econômico";2;23
"2015";5;27
"2016";5;21
"empatia";0;12
"2010";2;8
"2013";4;9
"2012";2;18
"nada";10;32
"gritar";2;9
"veículo";3;11
"bar";1;10
"através";11;18
"contrário";2;14
"além";5;82
"hídrico";0;24
"tempo";7;82
"david";0;11
"festival";0;10
"guerra";0;21
"haver";21;190
"roberto";3;14
