"";"X.gr_01";"X.gr_02"
"prazo";-0,5731;0,5731
"estrangeiro";-0,1938;0,1938
"atingir";1,6994;-1,6994
"waack";3,4329;-3,4329
"nascer";-0,4662;0,4662
"peça";-0,6208;0,6208
"criança";1,3482;-1,3482
"milhar";1,41;-1,41
"sede";0,553;-0,553
"preferir";-0,1938;0,1938
"sentir";1,7444;-1,7444
"realidade";-0,4775;0,4775
"surgir";1,8321;-1,8321
"brasileiro";2,2625;-2,2625
"até";-0,4152;0,4152
"urbano";-0,4775;0,4775
"reginaldo";-0,1676;0,1676
"bater";0,362;-0,362
"ato";-0,1938;0,1938
"deixar";-1,2687;1,2687
"adotar";-0,5253;0,5253
"interpretar";1,8321;-1,8321
"compromisso";-0,8596;0,8596
"vargas";1,0319;-1,0319
"investigação";-1,5284;1,5284
"este";-0,8888;0,8888
"esta";-0,2209;0,2209
"reportagem";-0,6208;0,6208
"longo";-0,9536;0,9536
"receber";2,2373;-2,2373
"cabeçalho";-0,4775;0,4775
"aceitar";0,3993;-0,3993
"equipamento";-0,8596;0,8596
"professor";0,242;-0,242
"repórter";-0,1938;0,1938
"policial";-1,3945;1,3945
"comprar";-0,4334;0,4334
"novembro";0,542;-0,542
"preço";-0,1938;0,1938
"mandar";1,1127;-1,1127
"medida";-0,5333;0,5333
"risco";2,1003;-2,1003
"formar";1,111;-1,111
"discurso";-0,9074;0,9074
"cobrir";0,3601;-0,3601
"roteiro";-0,4775;0,4775
"algum";0,5627;-0,5627
"destacar";1,3879;-1,3879
"municipal";-0,5731;0,5731
"ratton";-0,9074;0,9074
"complexo";1,0064;-1,0064
"maneira";-1,1974;1,1974
"uma";2,1044;-2,1044
"muita";-1,1541;1,1541
"conhecido";0,7944;-0,7944
"o";0,4328;-0,4328
"sob";0,3919;-0,3919
"novo";-1,2727;1,2727
"tela";-0,5253;0,5253
"altitude";0,3993;-0,3993
"verde";-0,6208;0,6208
"série";-0,2265;0,2265
"condenar";0,6986;-0,6986
"moderno";-0,7164;0,7164
"time";-1,5762;1,5762
"entrevista";-0,6372;0,6372
"corpo";0,2803;-0,2803
"ver";-0,7167;0,7167
"vez";0,2909;-0,2909
"comum";0,4946;-0,4946
"minuto";0,362;-0,362
"irmão";-0,1848;0,1848
"querer";-0,4143;0,4143
"mudança";-0,6022;0,6022
"século";0,3993;-0,3993
"recentemente";-0,1426;0,1426
"militar";-0,3077;0,3077
"saneamento";-0,5731;0,5731
"filme";-1,0811;1,0811
"visual";-0,5731;0,5731
"só";-0,2523;0,2523
"tirar";0,9114;-0,9114
"trazer";-1,1462;1,1462
"colocar";0,7054;-0,7054
"litro";-0,7641;0,7641
"justiça";0,2622;-0,2622
"padrão";-0,401;0,401
"natural";0,5891;-0,5891
"sp";-0,249;0,249
"se";1,6179;-1,6179
"museu";-0,249;0,249
"crédito";-0,5731;0,5731
"organizar";-0,5333;0,5333
"envolvido";-0,1426;0,1426
"trauma";-0,7164;0,7164
"internet";1,6593;-1,6593
"porcento";-1,2057;1,2057
"brasil";0,5133;-0,5133
"preparação";-0,1426;0,1426
"nota";0,2198;-0,2198
"sala";-0,249;0,249
"olho";-0,3382;0,3382
"estação";-1,0507;1,0507
"disputa";-0,5253;0,5253
"época";-0,7084;0,7084
"vender";-1,2418;1,2418
"droga";0,2859;-0,2859
"entregar";-0,6686;0,6686
"pessoa";1,9488;-1,9488
"isabella";1,1895;-1,1895
"fim";-0,3912;0,3912
"ouvido";0,553;-0,553
"área";-0,4585;0,4585
"otto";2,6686;-2,6686
"putin";-0,1676;0,1676
"oportunidade";0,4438;-0,4438
"costa";-0,1938;0,1938
"processamento";-0,5253;0,5253
"necessário";0,4601;-0,4601
"processo";0,4623;-0,4623
"ocupação";-1,0029;1,0029
"solução";-0,8119;0,8119
"definir";-0,5253;0,5253
"hoje";-0,8534;0,8534
"ouro";-0,4775;0,4775
"mensal";-0,4775;0,4775
"aí";-2,0062;2,0062
"diretor";-0,2265;0,2265
"completo";-0,1426;0,1426
"rússia";0,6986;-0,6986
"emissor";-0,1426;0,1426
"estúdio";-0,278;0,278
"ao";-0,7878;0,7878
"ar";1,9617;-1,9617
"getúlio";0,2859;-0,2859
"relação";-0,7011;0,7011
"pedir";2,2679;-2,2679
"pesquisa";0,4601;-0,4601
"apartamento";3,6388;-3,6388
"oito";-0,249;0,249
"te";1,41;-1,41
"jatobá";0,4946;-0,4946
"cientista";0,553;-0,553
"hash";-0,4775;0,4775
"social";3,9759;-3,9759
"via";-0,6686;0,6686
"vir";-0,7699;0,7699
"horário";-0,1426;0,1426
"reunião";-0,1676;0,1676
"silva";-0,3693;0,3693
"diferente";-0,9211;0,9211
"6";-0,1938;0,1938
"ponte";0,4946;-0,4946
"ponto";-2,3407;2,3407
"impacto";-0,6208;0,6208
"facção";-0,4775;0,4775
"não";0,9468;-0,9468
"plano";-0,7641;0,7641
"fundamental";-0,401;0,401
"francês";-1,194;1,194
