"";"X.gr_01";"X.gr_02"
"pre";-3,2181;3,2181
"ver_sup";-0,9515;0,9515
"ono";-0,4276;0,4276
"pro_per";1,7206;-1,7206
"num";1,7235;-1,7235
"conj";-0,3237;0,3237
"adv";-0,8907;0,8907
"ver";10,2067;-10,2067
"pro_int";-0,3028;0,3028
"nr";-1,5206;1,5206
"pro_ind";-1,0576;1,0576
"adj";1,5129;-1,5129
"pro_dem";-3,0897;3,0897
"nom";-0,3361;0,3361
"adj ";1,7266;-1,7266
"pro_pos";0,6092;-0,6092
"nom_sup";0,5268;-0,5268
"adv_sup";0,8371;-0,8371
"art_def";-0,5467;0,5467
"sw";-0,0501;0,0501
"adj_num";-2,2889;2,2889
"pro_rel";-1,2074;1,2074
