"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;1
"2";2;0;0;0;0;0;0;0;0;1
"3";3;0;0;0;0;0;0;0;0;1
"4";4;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;0;0;0;1
"6";6;0;0;0;2;2;2;2;2;2
"7";7;0;0;0;0;0;0;0;0;0
"8";8;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;3;3;3;3;3;3
"10";10;0;0;0;0;0;0;0;0;1
"11";11;0;0;0;0;0;0;0;0;1
"12";12;0;0;0;3;3;3;3;3;3
"13";13;0;0;0;3;3;3;3;3;3
"14";14;0;0;0;3;3;3;3;3;3
"15";15;0;0;0;3;3;3;3;3;3
"16";16;0;0;0;3;3;3;3;3;3
"17";17;0;0;0;0;0;0;0;0;1
"18";18;0;0;0;0;0;0;0;0;0
"19";19;0;0;0;0;0;0;0;0;0
"20";20;0;0;0;0;0;0;0;0;0
"21";21;0;0;0;3;3;3;3;3;3
"22";22;0;0;0;0;0;0;0;0;0
"23";23;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;0;0;0;0
"25";25;0;0;0;2;2;2;2;2;2
"26";26;0;0;0;0;0;0;0;0;1
"27";27;0;0;0;0;0;0;0;0;1
"28";28;0;0;0;0;0;0;0;0;1
"29";29;0;0;0;0;0;0;0;0;1
"30";30;0;0;0;3;3;3;3;3;3
"31";31;0;0;0;3;3;3;3;3;3
"32";32;0;0;0;0;0;0;0;0;1
"33";33;0;0;0;3;3;3;3;3;3
"34";34;0;0;0;3;3;3;3;3;3
"35";35;0;0;0;3;3;3;3;3;3
"36";36;0;0;0;0;0;0;0;0;1
"37";37;0;0;0;0;0;0;0;0;0
"38";38;0;0;0;0;0;0;0;0;1
"39";39;0;0;0;0;0;0;0;0;0
"40";40;0;0;0;0;0;0;0;0;1
"41";41;0;0;0;0;0;0;0;0;1
"42";42;0;0;0;0;0;0;0;0;1
"43";43;0;0;0;0;0;0;0;0;1
"44";44;0;0;0;0;0;0;0;0;1
"45";45;0;0;0;2;2;2;2;2;2
"46";46;0;0;0;2;2;2;2;2;2
"47";47;0;0;0;0;0;0;0;0;1
"48";48;0;0;0;0;0;0;0;0;1
"49";49;0;0;0;0;0;0;0;0;1
"50";50;0;0;0;0;0;0;0;0;1
"51";51;0;0;0;0;0;0;0;0;1
"52";52;0;0;0;0;0;0;0;0;1
"53";53;0;0;0;0;0;0;0;0;1
"54";54;0;0;0;0;0;0;0;0;1
"55";55;0;0;0;0;0;0;0;0;1
"56";56;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;0;0;1
"58";58;0;0;0;3;3;3;3;3;3
"59";59;0;0;0;0;0;0;0;0;1
"60";60;0;0;0;2;2;2;2;2;2
"61";61;0;0;0;2;2;2;2;2;2
"62";62;0;0;0;2;2;2;2;2;2
"63";63;0;0;0;3;3;3;3;3;3
"64";64;0;0;0;2;2;2;2;2;2
"65";65;0;0;0;0;0;0;0;0;0
"66";66;0;0;0;2;2;2;2;2;2
"67";67;0;0;0;0;0;0;0;0;0
"68";68;0;0;0;0;0;0;0;0;1
"69";69;0;0;0;0;0;0;0;0;1
"70";70;0;0;0;0;0;0;0;0;1
"71";71;0;0;0;0;0;0;0;0;1
"72";72;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;0;0;0;0;1
"74";74;0;0;0;2;2;2;2;2;2
"75";75;0;0;0;0;0;0;0;0;1
"76";76;0;0;0;0;0;0;0;0;1
"77";77;0;0;0;0;0;0;0;0;1
"78";78;0;0;0;0;0;0;0;0;1
"79";79;0;0;0;0;0;0;0;0;1
"80";80;0;0;0;3;3;3;3;3;3
"81";81;0;0;0;0;0;0;0;0;0
"82";82;0;0;0;0;0;0;0;0;1
"83";83;0;0;0;0;0;0;0;0;1
"84";84;0;0;0;3;3;3;3;3;3
"85";85;0;0;0;0;0;0;0;0;1
"86";86;0;0;0;3;3;3;3;3;3
"87";87;0;0;0;3;3;3;3;3;3
"88";88;0;0;0;2;2;2;2;2;2
"89";89;0;0;0;3;3;3;3;3;3
"90";90;0;0;0;0;0;0;0;0;1
"91";91;0;0;0;0;0;0;0;0;1
"92";92;0;0;0;0;0;0;0;0;1
"93";93;0;0;0;0;0;0;0;0;1
"94";94;0;0;0;0;0;0;0;0;1
"95";95;0;0;0;0;0;0;0;0;1
"96";96;0;0;0;2;2;2;2;2;2
"97";97;0;0;0;0;0;0;0;0;0
"98";98;0;0;0;3;3;3;3;3;3
"99";99;0;0;0;0;0;0;0;0;1
"100";100;0;0;0;0;0;0;0;0;1
"101";101;0;0;0;0;0;0;0;0;1
"102";102;0;0;0;0;0;0;0;0;1
"103";103;4;4;4;4;4;4;4;4;4
"104";104;4;4;4;4;4;4;4;4;4
"105";105;4;4;4;4;4;4;4;4;4
"106";106;4;4;4;4;4;4;4;4;4
"107";107;4;4;4;4;4;4;4;4;4
"108";108;4;4;4;4;4;4;4;4;4
"109";109;4;4;4;4;4;4;4;4;4
"110";110;0;0;0;0;0;0;0;0;1
"111";111;0;0;0;3;3;3;3;3;3
"112";112;0;0;0;3;3;3;3;3;3
"113";113;0;0;0;0;0;0;0;0;1
"114";114;0;0;0;0;0;0;0;0;1
"115";115;0;0;0;0;0;0;0;0;1
"116";116;0;0;0;3;3;3;3;3;3
"117";117;0;0;0;2;2;2;2;2;2
"118";118;0;0;0;3;3;3;3;3;3
"119";119;0;0;0;3;3;3;3;3;3
"120";120;0;0;0;0;0;0;0;0;1
"121";121;0;0;0;0;0;0;0;0;1
"122";122;0;0;0;0;0;0;0;0;1
"123";123;0;0;0;0;0;0;0;0;1
"124";124;4;4;4;4;4;4;4;4;4
"125";125;0;0;0;0;0;0;0;0;1
"126";126;0;0;0;3;3;3;3;3;3
"127";127;0;0;0;0;0;0;0;0;0
"128";128;0;0;0;2;2;2;2;2;2
"129";129;0;0;0;0;0;0;0;0;1
"130";130;0;0;0;0;0;0;0;0;1
"131";131;0;0;0;0;0;0;0;0;1
"132";132;0;0;0;0;0;0;0;0;1
"133";133;0;0;0;0;0;0;0;0;1
"134";134;0;0;0;0;0;0;0;0;1
"135";135;4;4;4;4;4;4;4;4;4
"136";136;0;0;0;0;0;0;0;0;1
"137";137;0;0;0;2;2;2;2;2;2
"138";138;0;0;0;0;0;0;0;0;1
"139";139;0;0;0;0;0;0;0;0;1
"140";140;0;0;0;0;0;0;0;0;1
"141";141;0;0;0;0;0;0;0;0;1
"142";142;0;0;0;0;0;0;0;0;1
"143";143;0;0;0;0;0;0;0;0;1
"144";144;0;0;0;0;0;0;0;0;1
"145";145;0;0;0;0;0;0;0;0;1
"146";146;0;0;0;0;0;0;0;0;1
"147";147;0;0;0;0;0;0;0;0;1
"148";148;0;0;0;0;0;0;0;0;1
"149";149;0;0;0;0;0;0;0;0;1
"150";150;0;0;0;0;0;0;0;0;1
"151";151;0;0;0;0;0;0;0;0;1
"152";152;0;0;0;3;3;3;3;3;3
"153";153;0;0;0;2;2;2;2;2;2
"154";154;0;0;0;0;0;0;0;0;1
"155";155;0;0;0;2;2;2;2;2;2
"156";156;0;0;0;0;0;0;0;0;1
"157";157;0;0;0;2;2;2;2;2;2
"158";158;0;0;0;0;0;0;0;0;1
"159";159;0;0;0;0;0;0;0;0;1
"160";160;0;0;0;2;2;2;2;2;2
"161";161;0;0;0;3;3;3;3;3;3
"162";162;0;0;0;3;3;3;3;3;3
"163";163;0;0;0;2;2;2;2;2;2
"164";164;0;0;0;2;2;2;2;2;2
"165";165;0;0;0;2;2;2;2;2;2
"166";166;0;0;0;2;2;2;2;2;2
"167";167;0;0;0;3;3;3;3;3;3
"168";168;0;0;0;2;2;2;2;2;2
"169";169;0;0;0;0;0;0;0;0;1
"170";170;0;0;0;0;0;0;0;0;1
