"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"622";"1747";"35.6";"****";""
" 7";"152";" 4.61";"-69.78";"eua";"6.644923e-17"
" 0";"116";" 0.00";"-68.70";"nuclear";"1.148429e-16"
" 0";"102";" 0.00";"-59.89";"coreia";"1.002345e-14"
" 5";"125";" 4.00";"-58.65";"norte";"1.882634e-14"
" 0";" 96";" 0.00";"-56.16";"kim";"6.668478e-14"
" 0";" 92";" 0.00";"-53.69";"míssil";"2.343538e-13"
" 1";" 84";" 1.19";"-45.58";"coréia";"1.464980e-11"
" 6";"100";" 6.00";"-40.55";"trump";"1.921163e-10"
" 8";" 92";" 8.70";"-30.67";"sérgio_moro";"3.060530e-08"
" 7";" 84";" 8.33";"-28.62";"delação";"8.794417e-08"
" 5";" 74";" 6.76";"-28.05";"defesa";"1.184418e-07"
" 0";" 49";" 0.00";"-27.87";"sul";"1.295215e-07"
" 6";" 78";" 7.69";"-27.74";"juiz";"1.385960e-07"
" 2";" 57";" 3.51";"-26.47";"china";"2.672574e-07"
" 7";" 79";" 8.86";"-25.81";"milhão";"3.766920e-07"
" 3";" 58";" 5.17";"-24.23";"americano";"8.542376e-07"
"10";" 87";"11.49";"-23.21";"acordo";"1.450253e-06"
" 5";" 64";" 7.81";"-22.38";"propina";"2.237382e-06"
"10";" 84";"11.90";"-21.62";"ataque";"3.329552e-06"
" 4";" 58";" 6.90";"-21.56";"guerra";"3.422973e-06"
" 2";" 46";" 4.35";"-20.13";"advogado";"7.232798e-06"
" 0";" 35";" 0.00";"-19.75";"jon_un";"8.841313e-06"
" 9";" 75";"12.00";"-19.04";"rcifrão";"1.278272e-05"
" 0";" 33";" 0.00";"-18.60";"sírio";"1.615071e-05"
" 2";" 43";" 4.65";"-18.42";"ação";"1.770191e-05"
" 0";" 30";" 0.00";"-16.88";"jong_un";"3.989297e-05"
" 3";" 45";" 6.67";"-16.87";"odebrecht";"4.003955e-05"
" 3";" 45";" 6.67";"-16.87";"rússia";"4.003955e-05"
" 1";" 35";" 2.86";"-16.70";"donald";"4.367461e-05"
" 3";" 44";" 6.82";"-16.31";"depoimento";"5.370081e-05"
" 3";" 44";" 6.82";"-16.31";"unido";"5.370081e-05"
" 1";" 34";" 2.94";"-16.13";"fachin";"5.899198e-05"
" 0";" 28";" 0.00";"-15.73";"atingir";"7.293856e-05"
" 0";" 28";" 0.00";"-15.73";"ditador";"7.293856e-05"
" 2";" 37";" 5.41";"-15.04";"confirmar";"1.055195e-04"
" 4";" 45";" 8.89";"-14.38";"jbs";"1.495373e-04"
" 0";" 25";" 0.00";"-14.02";"vinson";"1.805984e-04"
" 0";" 25";" 0.00";"-14.02";"carl";"1.805984e-04"
" 0";" 25";" 0.00";"-14.02";"lançamento";"1.805984e-04"
" 0";" 25";" 0.00";"-14.02";"teste";"1.805984e-04"
" 0";" 25";" 0.00";"-14.02";"edson";"1.805984e-04"
" 7";" 57";"12.28";"-13.98";"grupo";"1.847887e-04"
" 0";" 24";" 0.00";"-13.45";"balístico";"2.444629e-04"
" 0";" 24";" 0.00";"-13.45";"esquema";"2.444629e-04"
"12";" 75";"16.00";"-13.14";"pf";"2.897585e-04"
" 0";" 23";" 0.00";"-12.89";"premiar";"3.310323e-04"
" 0";" 23";" 0.00";"-12.89";"península";"3.310323e-04"
" 2";" 33";" 6.06";"-12.80";"pedido";"3.458198e-04"
" 1";" 28";" 3.57";"-12.73";"japão";"3.588775e-04"
" 8";" 58";"13.79";"-12.45";"informar";"4.185853e-04"
" 2";" 32";" 6.25";"-12.25";"ameaça";"4.651388e-04"
" 5";" 45";"11.11";"-12.09";"força";"5.081521e-04"
" 0";" 21";" 0.00";"-11.75";"uss";"6.078011e-04"
" 4";" 40";"10.00";"-11.71";"alegar";"6.232981e-04"
" 1";" 26";" 3.85";"-11.61";"manter";"6.560268e-04"
" 0";" 20";" 0.00";"-11.19";"navio";"8.242414e-04"
" 0";" 20";" 0.00";"-11.19";"porta_aviões";"8.242414e-04"
" 0";" 20";" 0.00";"-11.19";"campanha";"8.242414e-04"
" 0";" 20";" 0.00";"-11.19";"lourar";"8.242414e-04"
" 0";" 20";" 0.00";"-11.19";"norte_coreano";"8.242414e-04"
" 1";" 25";" 4.00";"-11.05";"sistema";"8.873402e-04"
" 8";" 55";"14.55";"-10.98";"empresa";"9.191450e-04"
" 0";" 19";" 0.00";"-10.62";"documento";"1.118472e-03"
" 0";" 19";" 0.00";"-10.62";"russo";"1.118472e-03"
" 0";" 19";" 0.00";"-10.62";"coreano";"1.118472e-03"
" 0";" 18";" 0.00";"-10.06";"chinês";"1.518850e-03"
" 0";" 18";" 0.00";"-10.06";"pyongyang";"1.518850e-03"
" 3";" 32";" 9.38";" -9.78";"cercar";"1.763281e-03"
" 5";" 40";"12.50";" -9.53";"condenar";"2.020442e-03"
" 2";" 27";" 7.41";" -9.51";"prometer";"2.044026e-03"
" 0";" 17";" 0.00";" -9.49";"palocci";"2.064291e-03"
" 0";" 17";" 0.00";" -9.49";"território";"2.064291e-03"
" 1";" 22";" 4.55";" -9.37";"delator";"2.200753e-03"
"10";" 59";"16.95";" -9.27";"stf";"2.331712e-03"
" 3";" 31";" 9.68";" -9.25";"valor";"2.351523e-03"
" 8";" 51";"15.69";" -9.09";"arma";"2.570372e-03"
" 2";" 26";" 7.69";" -8.97";"revelar";"2.747440e-03"
" 0";" 16";" 0.00";" -8.93";"kcna";"2.808333e-03"
" 0";" 16";" 0.00";" -8.93";"funaro";"2.808333e-03"
" 1";" 21";" 4.76";" -8.82";"conflito";"2.981774e-03"
" 1";" 21";" 4.76";" -8.82";"ex_deputado";"2.981774e-03"
"13";" 69";"18.84";" -8.80";"militar";"3.004620e-03"
" 9";" 54";"16.67";" -8.72";"aécio";"3.154707e-03"
" 0";" 15";" 0.00";" -8.37";"reino";"3.824834e-03"
" 0";" 15";" 0.00";" -8.37";"putin";"3.824834e-03"
" 1";" 20";" 5.00";" -8.26";"irmão";"4.042347e-03"
" 2";" 24";" 8.33";" -7.89";"entregar";"4.962262e-03"
" 9";" 52";"17.31";" -7.83";"prisão";"5.152490e-03"
" 0";" 14";" 0.00";" -7.80";"mala";"5.216027e-03"
" 0";" 14";" 0.00";" -7.80";"investigado";"5.216027e-03"
" 0";" 14";" 0.00";" -7.80";"mar";"5.216027e-03"
"11";" 59";"18.64";" -7.66";"informação";"5.644232e-03"
" 4";" 32";"12.50";" -7.59";"enviar";"5.872129e-03"
"12";" 62";"19.35";" -7.40";"afirmar";"6.513001e-03"
"11";" 58";"18.97";" -7.24";"operação";"7.115317e-03"
" 0";" 13";" 0.00";" -7.24";"contrato";"7.123976e-03"
" 0";" 13";" 0.00";" -7.24";"recurso";"7.123976e-03"
" 0";" 13";" 0.00";" -7.24";"jinping";"7.123976e-03"
" 0";" 13";" 0.00";" -7.24";"distância";"7.123976e-03"
" 0";" 13";" 0.00";" -7.24";"conjunto";"7.123976e-03"
" 3";" 27";"11.11";" -7.18";"petrobras";"7.390914e-03"
" 1";" 18";" 5.56";" -7.16";"autorizar";"7.445051e-03"
" 1";" 18";" 5.56";" -7.16";"alertar";"7.445051e-03"
" 1";" 18";" 5.56";" -7.16";"agência";"7.445051e-03"
" 6";" 39";"15.38";" -7.11";"mês";"7.653324e-03"
" 2";" 22";" 9.09";" -6.83";"prova";"8.958728e-03"
" 0";" 12";" 0.00";" -6.68";"seul";"9.747028e-03"
" 0";" 12";" 0.00";" -6.68";"santana";"9.747028e-03"
" 0";" 12";" 0.00";" -6.68";"caixa";"9.747028e-03"
" 0";" 12";" 0.00";" -6.68";"matar";"9.747028e-03"
" 0";" 12";" 0.00";" -6.68";"lavagem";"9.747028e-03"
" 1";" 17";" 5.88";" -6.61";"pronto";"1.011654e-02"
" 4";" 30";"13.33";" -6.60";"real";"1.018004e-02"
" 2";" 21";" 9.52";" -6.31";"ricardo";"1.203514e-02"
" 5";" 33";"15.15";" -6.14";"pgr";"1.324130e-02"
" 0";" 11";" 0.00";" -6.12";"preparar";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"dólar";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"explodir";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"bombardear";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"tensão";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"soldado";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"pacífico";"1.336370e-02"
" 0";" 11";" 0.00";" -6.12";"delatar";"1.336370e-02"
" 1";" 16";" 6.25";" -6.07";"regime";"1.376042e-02"
" 1";" 16";" 6.25";" -6.07";"alto";"1.376042e-02"
" 1";" 16";" 6.25";" -6.07";"pagamento";"1.376042e-02"
" 8";" 44";"18.18";" -5.98";"semana";"1.450605e-02"
" 7";" 40";"17.50";" -5.85";"neve";"1.555913e-02"
" 5";" 32";"15.62";" -5.67";"mpf";"1.720852e-02"
" 3";" 24";"12.50";" -5.67";"lançar";"1.730258e-02"
" 0";" 10";" 0.00";" -5.56";"julgar";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"preventivo";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"frota";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"bombardeiro";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"doleiro";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"washington";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"inimigo";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"ilegal";"1.836787e-02"
" 0";" 10";" 0.00";" -5.56";"icbm";"1.836787e-02"
" 1";" 15";" 6.67";" -5.53";"ajuda";"1.873833e-02"
" 1";" 15";" 6.67";" -5.53";"news";"1.873833e-02"
" 1";" 15";" 6.67";" -5.53";"denunciar";"1.873833e-02"
" 1";" 15";" 6.67";" -5.53";"ordenar";"1.873833e-02"
"22";" 91";"24.18";" -5.47";"federal";"1.936303e-02"
" 6";" 35";"17.14";" -5.31";"batista";"2.121561e-02"
" 2";" 19";"10.53";" -5.27";"investigar";"2.171020e-02"
"21";" 87";"24.14";" -5.25";"receber";"2.194546e-02"
" 4";" 27";"14.81";" -5.17";"carne";"2.298793e-02"
"17";" 73";"23.29";" -5.04";"caso";"2.476390e-02"
" 0";"  9";" 0.00";" -5.00";"instância";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"thaad";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"mônica";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"diretor";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"submarino";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"particular";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"controlar";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"construir";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"vírus";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"tomahawk";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"lúcio";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"japonês";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"andrea";"2.532145e-02"
" 0";"  9";" 0.00";" -5.00";"acrescentar";"2.532145e-02"
" 1";" 14";" 7.14";" -4.99";"água";"2.555077e-02"
" 1";" 14";" 7.14";" -4.99";"tropa";"2.555077e-02"
" 1";" 14";" 7.14";" -4.99";"civil";"2.555077e-02"
" 1";" 14";" 7.14";" -4.99";"américa";"2.555077e-02"
" 6";" 34";"17.65";" -4.88";"mundial";"2.722324e-02"
" 5";" 30";"16.67";" -4.77";"investigação";"2.888579e-02"
" 2";" 18";"11.11";" -4.76";"aéreo";"2.915033e-02"
" 2";" 18";"11.11";" -4.76";"conta";"2.915033e-02"
" 4";" 26";"15.38";" -4.71";"incluir";"3.005607e-02"
" 6";" 33";"18.18";" -4.45";"atacar";"3.484293e-02"
" 6";" 33";"18.18";" -4.45";"diverso";"3.484293e-02"
" 6";" 33";"18.18";" -4.45";"próprio";"3.484293e-02"
" 6";" 33";"18.18";" -4.45";"fonte";"3.484293e-02"
" 1";" 13";" 7.69";" -4.45";"km";"3.489307e-02"
" 1";" 13";" 7.69";" -4.45";"financeiro";"3.489307e-02"
" 1";" 13";" 7.69";" -4.45";"cabeça";"3.489307e-02"
" 1";" 13";" 7.69";" -4.45";"organização";"3.489307e-02"
" 1";" 13";" 7.69";" -4.45";"oas";"3.489307e-02"
" 1";" 13";" 7.69";" -4.45";"fiscal";"3.489307e-02"
" 0";"  8";" 0.00";" -4.44";"testar";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"saud";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"morte";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"léo";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"fornecer";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"foguete";"3.503520e-02"
" 0";"  8";" 0.00";" -4.44";"desfile";"3.503520e-02"
