"";"classe 1";"classe 2";"classe 3";"classe 4"
"dizer";0,85;0,065;0,108;0,001
"lula";0,814;0,883;0;0
"presidente";0,021;0,368;0;0,14
"michel_temer";0;0,042;0,084;0
"país";0,116;0,001;0,014;0
"eua";0;0;0;0
"ministro";0,155;0,725;0;0
"nuclear";0;0;0;0
"norte";0;0;0;0
"brasil";0;0,234;0;0
"governo";0;0,461;0;0,2
"trump";0;0;0;0
"coreia";0;0;0;0
"sérgio_moro";0;0,001;0;0
"ano";0,318;0,575;0,171;0,005
"rcifrão";0;0;0,007;0
"míssil";0;0;0;0
"dilma";0;0,133;0,966;0
"kim";0;0;0;0
"público";0;0,719;0,694;0
"federal";0,019;0;0;0
"senador";0,158;0,161;0,307;0
"acordo";0;0;0,048;0,002
"deputado";0;0,147;0,042;0
"receber";0,022;0;0,784;0
"político";0;0,175;0,315;0
"milhão";0;0;0;0,057
"ex_presidente";0,701;0,001;0;0
"ataque";0;0;0;0
"querer";0;0,008;0,161;0,09
"juiz";0;0,047;0;0
"delação";0;0;0,662;0
"coréia";0;0;0;0
"lava_jato";0,246;0,834;0;0
"pedir";0,081;0,148;0;0,2
"mesmo";0,026;0,593;0,839;0,034
"dia";0,015;0,059;0,998;0,354
"pf";0;0;0;0
"dar";0;0,081;0,022;0,067
"petista";0,046;0,09;0;0
"stf";0,002;0,186;0;0
"último";0,246;0,336;0,204;0,303
"brasileiro";0;0,971;0,449;0
"joesley";0,049;0;0,001;0
"defesa";0;0,007;0;0,028
"aécio";0,003;0,016;0;0
"militar";0,003;0;0;0
"caso";0,025;0,354;0,02;0,646
"falar";0;0,152;0,154;0,002
"pt";0;0,136;0,331;0
"dinheiro";0,213;0;0,634;0
"vez";0,089;0,004;0,363;0,963
"saber";0,079;0,726;0,882;0,017
"propina";0;0;0,026;0
"china";0;0,001;0;0
"vídeo";0;0,32;0,019;0,014
"só";0;0,227;0,118;0,008
"mundo";0,046;0,063;0,029;0
"justiça";0,264;0,89;0;0
"declarar";0,038;0,989;0,01;0
"guerra";0;0;0;0
"dever";0,121;0,681;0,144;0,982
"afirmar";0,007;0,28;0,887;0,034
"ficar";0,045;0,89;0,062;0,679
"novo";0,79;0,012;0,557;0,038
"operação";0,007;0;0,426;0,001
"empresa";0,001;0;0,012;0,002
"informação";0,006;0,191;0;0
"informar";0;0,952;0,204;0
"corrupção";0,613;0,546;0,001;0
"americano";0;0;0;0
"grupo";0;0;0,056;0,898
"chegar";0,001;0,533;0,175;0,075
"jbs";0;0;0,039;0
"cunha";0,292;0;0,34;0
"arma";0,003;0,001;0,001;0
"crime";0,126;0,02;0,002;0,001
"prisão";0,005;0,577;0;0
"odebrecht";0;0;0,783;0
"advogado";0;0,379;0;0
"ministério";0,595;0,056;0,726;0,136
"sul";0;0,001;0,003;0
"polícia";0,209;0,648;0,002;0
"passar";0;0,105;0,035;0,02
"maior";0,747;0,151;0,001;0,058
"usar";0,187;0,108;0,193;0,233
"publicar";0,042;0,89;0,608;0,1
"força";0,001;0,001;0,094;0
"chamar";0,003;0,61;0,569;0,02
"ação";0;0,215;0,976;0
"contar";0,559;0,058;0,416;0,002
"próximo";0,678;0,099;0,135;0,518
"preso";0,391;0,068;0,001;0
