"";"";"";"";"lançamento";""
"1";"lançamento";"-3.25724532531449";"-1.96134030262186";"1.09507404782863";"73"
"2";"washington";"-3.48761025522991";"-2.08054486596318";"1.08331481735096";"78"
"3";"sérgio_moro";"1.14940401791404";"-1.04753249616727";"1.07163122300384";"81"
"4";"desembargador";"1.07577730265629";"-0.462014453683014";"1.04904914984648";"91"
"5";"procurador_geral";"1.23077053314133";"-1.11996620769766";"1.04013221263811";"94"
"6";"península";"-3.52373343242614";"-2.12953805268355";"0.98140857092038";"123"
"7";"nota";"0.985104474198978";"-0.961055213033511";"0.975385809616302";"126"
"8";"investigar";"1.10106656859464";"-1.06438152206733";"0.974710710269295";"128"
"9";"lavagem";"1.24059038983839";"-1.08537300111337";"0.973968726079577";"130"
"10";"norte_coreanos";"-3.67033418859092";"-2.33190251660014";"0.969866247362538";"135"
"11";"penal";"1.01663641678049";"-0.59657781872201";"0.963574071411645";"143"
"12";"recorrer";"0.731245660249099";"-0.667365636715722";"0.963462805037787";"144"
"13";"liminar";"1.17513812951258";"-0.510829727454207";"0.938140328605175";"172"
"14";"campanha";"0.609432931040423";"-0.568645464934726";"0.935359294350703";"176"
"15";"crime";"0.886011996649956";"-0.40058030026804";"0.934316015822783";"177"
"16";"ex_ministro";"1.16535941823217";"-1.5003495747717";"0.93400909565669";"178"
"17";"magistrado";"1.00821891571126";"-0.358838751900102";"0.933567780713185";"180"
"18";"empresário";"1.01098740600675";"-1.01195415981127";"0.931781892903558";"181"
"19";"pedido";"1.11854767600926";"-0.888653327829841";"0.929894740191881";"184"
"20";"gravação";"1.1432759123077";"-0.987258127436736";"0.929399042245421";"186"
"21";"criminoso";"1.01562387070262";"-0.726302624239877";"0.92831013200238";"187"
"22";"norte_coreana";"-3.5053543728426";"-2.29645589544872";"0.92396511759401";"190"
"23";"mpf";"1.2954642408742";"-1.70693501211349";"0.919091900455806";"194"
"24";"gebran";"1.2197633896221";"-0.731554758881677";"0.918888120467728";"196"
"25";"joão";"1.010130362487";"-0.942190374602546";"0.915743907768245";"204"
"26";"justiça";"0.943733541387651";"-0.436696357796793";"0.912355284101467";"207"
"27";"passivo";"1.19147170351181";"-0.900864721676254";"0.906555680637094";"224"
"28";"frigorífico";"1.02155106921393";"-0.922202848872541";"0.903435221433154";"231"
"29";"raquel";"1.17132803320305";"-1.04706669816975";"0.903204562489594";"232"
"30";"prestar";"0.941314842525748";"-1.26627593048018";"0.902970152994105";"233"
"31";"sul_coreano";"-3.53991130215613";"-2.15437653534048";"0.901596825896538";"241"
"32";"moon";"-3.53991130215613";"-2.15437653534048";"0.901596825896538";"242"
"33";"ex_deputado";"1.19109506757812";"-0.977796996477562";"0.901296781742313";"243"
"34";"construtor";"1.33125981554094";"-2.08269874622353";"0.900601054359704";"247"
"35";"conta";"0.943499264898943";"-0.940752266289277";"0.900046597766376";"249"
"36";"dodge";"1.18716393741614";"-1.02486786383499";"0.899320865968344";"250"
"37";"curitiba";"1.19817149281732";"-0.898053185778225";"0.897849399428666";"252"
"38";"moscou";"-3.53289597968644";"-2.14218583167834";"0.897127418182562";"254"
"39";"porta_voz";"-2.92424854526089";"-1.88287302541226";"0.896855503167796";"256"
"40";"pequim";"-3.26067208879845";"-1.9769133131171";"0.896279793446877";"258"
"41";"advogado";"1.15438286952336";"-1.09533845072498";"0.896216659156092";"260"
"42";"procuradoria";"1.22464540456599";"-1.25747474944754";"0.895675329494511";"262"
"43";"pmdb_rj";"1.15706160203304";"-0.978880509369563";"0.894874586657923";"267"
"44";"lúcio";"1.22035450618898";"-1.28112369880869";"0.892842412605037";"270"
"45";"herman";"1.22283832738991";"-0.762045657153866";"0.891162165341377";"279"
"46";"al_assad";"-3.67033418859092";"-2.33190251660014";"0.889167496807769";"288"
"47";"preventivo";"0.432755718945476";"-0.809620474120244";"0.888123593187861";"292"
"48";"delegado";"1.02563018406909";"-0.721458187020279";"0.88790543608406";"294"
"49";"mello";"0.967991666885875";"-0.257569682686597";"0.887405362493685";"296"
"50";"perrella";"1.04644635034576";"-0.803404800976735";"0.88735160458272";"297"
"51";"terreno";"0.921302326831381";"-1.78147022214309";"0.887142823858738";"298"
"52";"dilma";"0.827613141850888";"-0.479778597025889";"0.886398964393056";"300"
"53";"fraco";"0.941338306490817";"-0.623575963141811";"0.886292073663113";"301"
"54";"apreensão";"1.04698300552206";"-0.997376250153208";"0.886158929069676";"303"
"55";"chapa";"1.10079409230898";"-0.641870877930066";"0.885830755775992";"304"
"56";"afastado";"0.943917358771409";"-0.533092906919365";"0.885190036488324";"305"
"57";"supremo";"0.931426406502706";"-0.359671247005888";"0.885099398150069";"307"
"58";"juízo";"1.15177163637014";"-0.904717913633361";"0.884714966577468";"309"
"59";"psdb_mg";"1.27727830327893";"-1.25984010250115";"0.883604178114848";"312"
"60";"serraglio";"1.03695192066054";"-0.716521536720459";"0.883386021011047";"315"
"61";"obra";"0.70823090600103";"-0.556954340455741";"0.883229122922066";"317"
"62";"barroso";"1.02105983904349";"-0.217778997229106";"0.882465885604757";"322"
"63";"apresentar";"0.666005191153161";"-0.260951415614351";"0.882177718198303";"323"
"64";"sigilo";"1.08148082445955";"-1.19217481905238";"0.880158671077164";"330"
"65";"andrea";"1.21754117033936";"-1.17573345711724";"0.879938013605411";"331"
"66";"lúcia";"0.99692862313204";"-0.430438724597059";"0.878784093795621";"334"
"67";"cármen";"0.951204204411524";"-0.263168381493979";"0.878784093795621";"335"
"68";"entregar";"0.978276780168149";"-1.14077983454937";"0.878072114021325";"336"
"69";"benjamin";"1.02997529256299";"-0.851196440182313";"0.877561413867154";"337"
"70";"ex_diretor";"1.27733104370227";"-2.03816557349757";"0.877260744620941";"341"
"71";"áudio";"1.0927991685772";"-0.858353765861936";"0.87708884432425";"342"
"72";"propriedade";"0.95087358367169";"-1.49488259450491";"0.876196212965431";"344"
"73";"deflagrar";"1.18730899798042";"-1.09518433634639";"0.875715517226683";"346"
"74";"denúncia";"1.04034577638076";"-0.862035322017723";"0.875105427446425";"348"
"75";"8a";"1.20746363855082";"-0.60959116579292";"0.874044021250855";"349"
"76";"wesley";"1.25447228061822";"-1.40290349511165";"0.873449558770296";"352"
"77";"frederico";"1.07014545123535";"-0.792569229031918";"0.872885725797149";"356"
"78";"delcídio";"1.27565091979631";"-1.2371270860452";"0.872784460895098";"357"
"79";"colunista";"1.22639300126185";"-1.08663346571954";"0.872784460895098";"358"
"80";"alegação";"0.900516628179193";"-0.874785727306091";"0.872523172444127";"360"
"81";"comprar";"0.780460337510963";"-1.14837432564193";"0.872359398343279";"361"
"82";"mercado";"-0.144386355024173";"1.27866856030504";"0.871114840195233";"365"
"83";"salário";"-0.120918632798739";"1.60207376069226";"0.870344726866056";"368"
"84";"prova";"0.903148991301879";"-1.28608575350675";"0.870279717299307";"370"
"85";"íntegro";"1.03624133826998";"-0.977064650083881";"0.870042807435867";"371"
"86";"paulsen";"1.14802396549683";"-0.654499242553803";"0.868236916682625";"376"
"87";"zanin";"1.30938555483648";"-1.9669769470441";"0.868165031104009";"377"
"88";"absolver";"1.24955557575519";"-1.02514959773053";"0.866525414819567";"383"
"89";"mercadante";"1.27224155573404";"-1.20575029003258";"0.864491990582705";"387"
"90";"embargo";"0.693771607857746";"-0.672668312938153";"0.864133187781611";"389"
"91";"ex_assessor";"0.895443132577638";"-1.19368160782912";"0.863401830155688";"394"
"92";"globo";"1.07605452675071";"-1.23682822768086";"0.862721730072778";"397"
"93";"repassar";"1.20763213880267";"-1.76068841992305";"0.862590460755304";"398"
"94";"suíço";"1.03199183942564";"-1.37347752361995";"0.862387305859215";"400"
"95";"mulher";"-0.0534966308348293";"1.35470750070813";"0.861811596138295";"401"
"96";"apurar";"1.09085570314189";"-1.05663664806146";"0.86156093425112";"403"
"97";"orçamentário";"-0.320876642901176";"1.92862854663079";"0.861456543889129";"404"
"98";"ex_primeira_dama";"1.39195990461991";"-2.43904506212428";"0.859906940850955";"411"
"99";"dificuldade";"-0.361930062144171";"1.5350356524835";"0.859721913622516";"414"
"100";"movimento";"-0.311446181111462";"1.84983462774606";"0.859394990512808";"415"
"101";"vereador";"0.143322444150736";"1.85128633122471";"0.859269972115215";"416"
"102";"reeleição";"0.574752015264978";"1.00703556523721";"0.857707242145293";"421"
"103";"violência";"-0.261514531456501";"1.98149638180694";"0.854988091997629";"429"
"104";"prerrogativa";"0.928654506470464";"-0.0305353547802272";"0.854902454395278";"431"
"105";"médico";"-0.211168568092073";"1.80785114723371";"0.85332909786156";"433"
"106";"morador";"-0.363490857669901";"1.93912822880445";"0.85309531345806";"434"
"107";"absolvição";"1.24577574093743";"-0.985053818743147";"0.852713382253411";"436"
"108";"emprego";"-0.445134327663078";"1.6047339745137";"0.852685878205941";"437"
"109";"alerj";"0.266809853580325";"2.16694255926357";"0.852133921980564";"438"
"110";"gomes";"0.0167557433802502";"2.30737867986619";"0.85121503675825";"439"
"111";"proferido";"1.14753249981459";"-0.687850714298798";"0.850876236900771";"440"
"112";"links";"-0.613547787775523";"1.82886266917305";"0.850436172141241";"443"
"113";"laus";"1.22165565901768";"-0.75031838858764";"0.850032987809001";"445"
"114";"qualidade";"-0.295744710112622";"1.54951121126288";"0.848252725827267";"452"
"115";"orçamento";"-0.543823588188888";"1.69721814701292";"0.848252725827267";"453"
"116";"indicador";"-0.409762027721163";"2.10624701489126";"0.847675765922372";"455"
"117";"mdb";"0.213212165450047";"2.08125286806294";"0.847658888438696";"456"
"118";"centro_direita";"0.0952095601541015";"2.50370672682834";"0.847343216984772";"458"
"119";"aumento";"-0.523009161096823";"1.13635989148218";"0.847038172094643";"459"
"120";"exportador";"-0.289647232231758";"1.80322754309023";"0.846768132355841";"461"
"121";"pezão";"0.172951208469852";"2.08895602669523";"0.846337443976131";"463"
"122";"prefeito";"0.233841659691654";"1.52825635910443";"0.846284311157153";"464"
"123";"bom";"-0.338846460313306";"1.49740075244385";"0.846001144486603";"467"
