"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;1
"2";2;0;0;0;5;5;5;5;5;5
"3";3;0;0;0;0;0;2;2;2;2
"4";4;0;0;0;0;0;0;0;0;1
"5";5;0;0;0;0;0;0;0;0;1
"6";6;0;0;0;0;4;4;4;4;4
"7";7;0;0;0;0;0;0;0;0;1
"8";8;7;7;7;7;7;7;7;7;7
"9";9;0;0;0;0;0;0;0;0;1
"10";10;0;0;0;0;0;2;2;2;2
"11";11;0;0;0;0;0;0;0;0;1
"12";12;0;0;0;0;0;3;3;3;3
"13";13;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;0;0;0;1
"16";16;0;0;0;0;0;0;0;0;1
"17";17;0;0;0;0;0;0;0;0;1
"18";18;0;0;6;6;6;6;6;6;6
"19";19;0;0;0;0;0;2;2;2;2
"20";20;0;0;0;0;4;4;4;4;4
"21";21;0;0;0;0;0;3;3;3;3
"22";22;0;0;6;6;6;6;6;6;6
"23";23;0;0;6;6;6;6;6;6;6
"24";24;0;0;0;0;4;4;4;4;4
"25";25;0;0;6;6;6;6;6;6;6
"26";26;0;0;0;0;4;4;4;4;4
"27";27;0;0;6;6;6;6;6;6;6
"28";28;0;0;6;6;6;6;6;6;6
"29";29;0;0;6;6;6;6;6;6;6
"30";30;0;0;6;6;6;6;6;6;6
"31";31;0;0;6;6;6;6;6;6;6
"32";32;0;0;6;6;6;6;6;6;6
"33";33;0;0;0;0;4;4;4;4;4
"34";34;0;0;6;6;6;6;6;6;6
"35";35;0;0;6;6;6;6;6;6;6
"36";36;0;0;6;6;6;6;6;6;6
"37";37;0;0;6;6;6;6;6;6;6
"38";38;0;0;6;6;6;6;6;6;6
"39";39;0;0;6;6;6;6;6;6;6
"40";40;0;0;6;6;6;6;6;6;6
"41";41;0;0;6;6;6;6;6;6;6
"42";42;0;0;6;6;6;6;6;6;6
"43";43;0;0;6;6;6;6;6;6;6
"44";44;0;0;0;0;0;0;0;0;1
"45";45;0;0;6;6;6;6;6;6;6
