"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"dizer";-0,003;-21,015;5,636;-33,545;24,869;1,631;2,32
"estar";220,73;-60,557;-17,199;3,388;-62,507;0,034;0,239
"presidente";-41,508;-13,073;65,432;-38,646;-40,346;129,481;31,501
"lula";-35,439;149,525;-45,331;-142,056;839,817;-14,762;-178,258
"afirmar";-59,038;-4,852;5,223;-28,249;55,62;1,746;28,119
"ano";3,196;11,258;-17,545;54,287;-20,578;-1,712;-7,211
"governo";-3,1;-79,309;-25,086;10,933;-46,272;353,416;3,841
"michel_temer";-49,681;-28,116;464,308;-20,032;-53,518;240,598;-119,975
"país";0,677;-77,005;-41,087;120,449;-81,891;-9,018;242,564
"público";-11,974;19,617;58,137;16,222;0,271;-11,429;-95,549
"federal";-64,181;65,987;294,098;-36,296;1,186;-0,995;-100,565
"ministro";-52,231;309,171;157,504;-43,991;-57,22;2,702;-60,438
"ex_presidente";-84,545;66,854;-0,144;-101,273;569,201;-11,263;-78,378
"brasil";21,254;-33,887;-35,728;303,609;-27,454;0,037;-44,603
"lava_jato";-58,263;60,138;358,851;-65,166;38,622;-48,227;-94,826
"dia";22,363;52,002;-3,695;-24,676;-39,031;2,259;-0,004
"caso";-14,551;211,147;-0,167;-0,002;-5,27;-2,5;-25,918
"pessoa";189,834;-6,832;-6,634;1,139;-17,641;-9,114;-26,171
"stf";-82,873;522,787;314,12;-62,998;-73,538;-13,798;-70,632
"rcifrão";-91,091;-32,416;-3,012;0,005;862,775;-28,54;-70,557
"mesmo";12,186;-0,011;-7,458;1,061;-3,462;5,026;-6,289
"processo";-53,921;669,092;-2,134;-16,923;1,083;-9,388;-76,476
"coreia";-125,434;-70,923;-82,143;-68,707;-98,565;-65,8;3519,829
"ver";27,938;-6,889;3,437;-0,383;-8,218;-1,259;-0,794
"defesa";-68,713;246,556;7,494;-62,757;37,252;-39,969;-0,129
"novo";-2,926;-7,676;0,029;0,953;-6,504;1,233;28,644
"acordo";-48,261;-12,534;55,586;-0,708;46,158;-23,296;4,773
"dar";61,54;-3,905;-3,993;-6,39;-1,048;1,592;-8,524
"pedir";-35,391;35,921;70,157;-40,085;9,302;-6,358;-2,528
"ministério";-31,296;6,78;146,458;-1,592;2,616;-15,468;-25,828
"operação";-59,807;0,06;361,651;-17,643;35,647;-43,185;-42,735
