"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2445";"12101";"20.2";"****";""
"148";" 216";" 68.52";"318.41";"coisa";"3.222648e-71"
"136";" 208";" 65.38";"267.95";"gente";"3.182587e-60"
"633";"1941";" 32.61";"220.73";"estar";"6.268885e-50"
"241";" 560";" 43.04";"189.83";"pessoa";"3.456340e-43"
"186";" 415";" 44.82";"161.49";"querer";"5.346533e-37"
" 71";" 103";" 68.93";"152.99";"viver";"3.854033e-35"
" 47";"  55";" 85.45";"145.90";"livro";"1.363384e-33"
" 94";" 163";" 57.67";"143.84";"sociedade";"3.859365e-33"
" 47";"  58";" 81.03";"133.76";"esquerdo";"6.181102e-31"
" 56";"  84";" 66.67";"113.26";"rua";"1.896310e-26"
" 66";" 109";" 60.55";"111.05";"pensar";"5.773759e-26"
" 97";" 199";" 48.74";"102.21";"achar";"4.994837e-24"
" 72";" 131";" 54.96";" 99.23";"mulher";"2.247211e-23"
"145";" 352";" 41.19";" 99.06";"saber";"2.454424e-23"
" 98";" 206";" 47.57";" 97.36";"social";"5.785445e-23"
" 62";" 107";" 57.94";" 95.36";"movimento";"1.583497e-22"
" 57";"  96";" 59.38";" 92.09";"homem";"8.288770e-22"
" 56";"  95";" 58.95";" 89.14";"povo";"3.673062e-21"
" 62";" 111";" 55.86";" 88.31";"violência";"5.582818e-21"
" 31";"  39";" 79.49";" 85.29";"morador";"2.580726e-20"
" 41";"  62";" 66.13";" 81.52";"cara";"1.733998e-19"
"142";" 367";" 38.69";" 80.23";"falar";"3.329237e-19"
"143";" 371";" 38.54";" 79.84";"ficar";"4.052516e-19"
"117";" 285";" 41.05";" 78.68";"direito";"7.294043e-19"
" 25";"  29";" 86.21";" 78.55";"século";"7.818587e-19"
" 28";"  36";" 77.78";" 74.23";"fácil";"6.941363e-18"
" 83";" 182";" 45.60";" 73.94";"bom";"8.060749e-18"
" 63";" 124";" 50.81";" 72.77";"história";"1.457409e-17"
" 39";"  61";" 63.93";" 72.72";"olhar";"1.495917e-17"
" 91";" 209";" 43.54";" 71.83";"situação";"2.342466e-17"
" 29";"  39";" 74.36";" 71.17";"mãe";"3.277994e-17"
" 55";" 106";" 51.89";" 66.58";"rede";"3.367475e-16"
"133";" 360";" 36.94";" 64.49";"só";"9.718597e-16"
" 61";" 125";" 48.80";" 64.06";"vida";"1.208596e-15"
" 20";"  23";" 86.96";" 63.69";"fidel";"1.459222e-15"
" 20";"  23";" 86.96";" 63.69";"ódio";"1.459222e-15"
" 88";" 211";" 41.71";" 61.58";"pouco";"4.258883e-15"
"174";" 515";" 33.79";" 61.54";"dar";"4.339275e-15"
" 38";"  64";" 59.38";" 61.23";"luta";"5.080527e-15"
" 27";"  38";" 71.05";" 61.13";"br";"5.341254e-15"
" 37";"  62";" 59.68";" 60.23";"humano";"8.460531e-15"
" 29";"  43";" 67.44";" 59.72";"cultura";"1.091751e-14"
" 36";"  61";" 59.02";" 57.28";"morrer";"3.777824e-14"
" 37";"  64";" 57.81";" 56.44";"mal";"5.789124e-14"
" 21";"  27";" 77.78";" 55.63";"jeito";"8.732781e-14"
" 21";"  27";" 77.78";" 55.63";"deus";"8.732781e-14"
" 29";"  45";" 64.44";" 54.83";"andar";"1.314264e-13"
" 99";" 259";" 38.22";" 53.30";"rio";"2.863716e-13"
" 27";"  41";" 65.85";" 53.17";"teoria";"3.056149e-13"
" 16";"  18";" 88.89";" 52.75";"imigrante";"3.794466e-13"
" 16";"  18";" 88.89";" 52.75";"revolução";"3.794466e-13"
" 99";" 260";" 38.08";" 52.64";"precisar";"4.005924e-13"
" 21";"  28";" 75.00";" 52.27";"jogar";"4.848719e-13"
" 20";"  26";" 76.92";" 51.99";"botar";"5.579101e-13"
" 19";"  24";" 79.17";" 51.85";"porta";"5.979226e-13"
" 73";" 174";" 41.95";" 51.79";"filho";"6.160968e-13"
" 32";"  54";" 59.26";" 51.31";"prédio";"7.868980e-13"
" 23";"  33";" 69.70";" 50.27";"perceber";"1.337618e-12"
" 42";"  82";" 51.22";" 49.26";"professor";"2.245727e-12"
" 25";"  38";" 65.79";" 49.13";"surgir";"2.394908e-12"
" 20";"  27";" 74.07";" 48.71";"natural";"2.973936e-12"
" 17";"  21";" 80.95";" 48.15";"conspiração";"3.948361e-12"
" 69";" 166";" 41.57";" 47.64";"acabar";"5.133364e-12"
" 22";"  32";" 68.75";" 46.90";"ciência";"7.477040e-12"
" 27";"  44";" 61.36";" 46.40";"acidente";"9.638249e-12"
" 49";" 105";" 46.67";" 46.00";"mudar";"1.181317e-11"
" 13";"  14";" 92.86";" 45.89";"intolerância";"1.252403e-11"
" 13";"  14";" 92.86";" 45.89";"illuminati";"1.252403e-11"
" 23";"  35";" 65.71";" 45.09";"impunidade";"1.880512e-11"
" 59";" 137";" 43.07";" 44.92";"hora";"2.055427e-11"
" 67";" 163";" 41.10";" 44.76";"trabalhar";"2.225005e-11"
" 17";"  22";" 77.27";" 44.52";"cuba";"2.516897e-11"
" 17";"  22";" 77.27";" 44.52";"valorizar";"2.516897e-11"
" 88";" 237";" 37.13";" 42.95";"bem";"5.603443e-11"
" 72";" 182";" 39.56";" 42.94";"problema";"5.654209e-11"
" 20";"  29";" 68.97";" 42.87";"corpo";"5.852870e-11"
" 60";" 143";" 41.96";" 42.47";"cidade";"7.168429e-11"
" 80";" 210";" 38.10";" 42.43";"acontecer";"7.343863e-11"
" 37";"  73";" 50.68";" 42.32";"tirar";"7.749184e-11"
" 12";"  13";" 92.31";" 41.96";"marginal";"9.295397e-11"
" 12";"  13";" 92.31";" 41.96";"estudante";"9.295397e-11"
