de;2226;1385;1633;1699;1833;1317;1442
a;1917;1182;1312;1415;1514;1111;1243
o;1843;1150;1318;1357;1510;1139;1199
em;1679;1070;1235;1263;1404;1026;1067
que;1754;918;1051;1171;1326;942;987
ser;1366;636;579;960;758;731;498
para;813;467;531;634;676;509;476
por;637;677;622;511;691;395;336
não;938;404;369;500;422;447;334
ir;744;397;527;419;582;436;276
com;684;292;510;489;581;375;455
um;784;256;275;530;408;320;512
ter;682;265;363;488;520;331;258
uma;700;220;271;472;369;321;484
se;576;267;230;296;248;317;261
ao;325;229;351;218;363;262;194
ele;464;189;226;170;347;227;162
como;397;160;161;264;260;200;181
fazer;387;132;185;180;235;154;153
mais;357;125;103;282;125;147;223
poder;314;191;115;222;105;180;190
haver;246;196;148;184;168;126;122
também;169;147;175;139;201;103;124
_;156;83;69;138;110;92;96
sobre;163;123;168;124;142;123;113
seu;192;83;101;131;107;96;241
segundo;82;128;168;118;224;100;131
sua;189;126;98;126;129;72;173
outro;199;117;111;125;164;73;71
eu;327;39;47;78;92;83;13
todo;203;92;111;134;106;74;69
estado;121;44;33;118;53;64;294
isso;282;64;55;132;62;78;53
já;156;92;87;103;111;107;64
ainda;112;118;99;115;134;95;62
entre;97;39;93;114;134;71;115
contra;104;103;103;34;40;81;140
muito;227;21;22;141;35;60;83
dois;110;49;89;71;112;64;97
essa;192;40;49;114;70;71;46
esse;174;50;34;98;70;74;38
até;119;65;48;95;71;70;55
quando;136;64;57;68;74;62;46
milhão;31;17;49;65;261;17;10
primeiro;89;119;56;59;49;51;76
sem;118;60;53;73;54;37;50
porque;166;31;51;74;55;67;13
ela;153;36;45;66;57;40;27
após;54;98;75;37;56;52;77
qualquer;76;68;62;43;85;22;69
qual;95;51;70;57;37;48;42
depois;80;45;61;46;51;36;63
parte;58;38;48;57;88;27;61
você;172;7;17;39;20;38;11
então;79;19;55;38;68;51;34
quem;107;25;38;43;38;51;15
durante;54;58;41;34;43;41;48
além;50;43;46;55;49;28;36
nós;120;10;10;59;21;31;25
agora;110;31;30;39;17;48;26
2;35;28;47;49;77;21;19
hoje;93;18;30;59;31;40;24
desde;55;31;43;49;32;33;49
antes;46;52;27;38;24;40;57
nome;44;16;49;20;64;55;6
nenhum;49;24;46;35;47;29;19
mil;34;14;23;46;67;8;12
apenas;54;45;23;43;39;16;33
três;39;36;43;35;40;18;28
assim;72;34;20;22;28;34;25
fim;53;29;22;25;27;31;35
1;22;32;18;53;56;15;13
algum;50;17;27;31;33;27;28
me;89;11;19;14;35;21;3
tentar;41;14;29;28;24;38;36
5;18;25;25;54;55;12;12
menos;48;12;17;39;23;36;23
aqui;86;10;22;23;21;27;7
3;20;20;20;55;47;9;20
tudo;75;7;29;27;23;20;10
trabalho;60;14;16;41;12;32;5
sempre;68;7;14;30;39;17;10
cada;39;16;14;43;26;24;18
2014;9;14;19;19;103;16;1
nunca;56;5;28;9;49;9;20
4;13;42;16;25;45;13;16
pro;61;6;12;20;36;18;0
alguma;48;14;24;30;12;13;20
2016;16;30;22;31;23;13;21
nada;56;13;23;24;16;15;12
10;18;28;12;33;35;14;13
nosso;75;7;7;32;5;9;13
2017;14;15;24;42;14;16;24
dentro;49;19;21;22;17;17;8
vário;38;18;10;17;14;13;33
6;12;37;9;32;32;5;17
aí;53;10;15;23;13;21;4
abaixo;16;20;57;16;18;15;4
minha;70;6;8;18;12;18;1
quanto;27;18;15;28;21;18;17
meu;58;13;16;12;18;12;1
12;15;38;17;18;22;15;12
sob;31;20;27;22;6;9;21
bilhão;2;2;1;58;42;5;5
nossa;59;4;4;27;3;10;19
aquele;34;11;11;24;23;11;16
lá;61;3;13;8;16;11;4
tanto;34;15;10;19;16;18;11
quatro;15;19;12;13;18;12;28
este;28;10;10;19;19;7;25
ninguém;47;3;22;12;6;13;9
muita;50;3;7;23;7;12;13
esta;25;17;14;16;13;10;23
2018;13;6;10;28;2;49;11
20;21;19;11;26;20;12;7
2015;6;16;16;26;33;7;9
apesar;24;10;14;10;15;14;27
tal;28;18;11;15;22;4;9
8;10;20;9;26;16;12;13
entanto;16;27;9;15;15;14;17
quase;29;8;4;23;14;9;21
verdade;28;12;10;11;25;10;8
sim;26;7;12;22;14;18;5
15;18;17;11;16;19;10;10
30;16;8;19;20;17;12;8
seis;12;27;12;8;12;16;12
9;11;29;6;21;16;9;6
diante;20;5;11;15;8;14;19
cinco;17;15;17;20;10;6;9
tão;39;2;7;18;8;6;14
embora;19;22;7;13;13;7;14
7;11;8;9;18;21;11;13
inclusive;15;9;11;16;19;11;5
algo;37;5;7;9;2;9;13
demais;18;16;10;12;12;6;5
alguém;30;7;9;12;8;6;4
100;10;4;2;20;20;5;7
2010;3;2;5;9;44;10;0
2013;9;7;5;10;30;5;9
maioria;13;11;4;11;3;23;5
aquela;24;7;6;9;11;9;3
19;14;11;15;7;5;15;1
j;0;0;44;0;22;2;2
11;12;13;16;8;9;2;9
13;12;10;5;13;14;10;3
ontem;15;11;6;8;4;14;3
acima;14;7;12;13;11;7;1
18;13;6;29;10;6;2;0
50;9;2;1;16;21;6;3
24;5;23;6;7;4;5;8
jamais;7;4;12;2;29;3;4
mim;35;2;2;4;11;3;1
16;11;7;9;6;12;7;6
somente;7;24;4;13;8;2;1
26;12;10;6;2;8;9;9
25;7;2;6;18;7;2;15
talvez;15;3;1;13;4;5;15
ali;27;2;4;13;5;3;2
40;13;3;5;10;11;6;6
21;11;5;9;9;9;10;2
dez;13;8;8;9;1;7;3
ambos;9;1;10;4;4;7;20
23;3;19;8;5;3;5;6
14;10;16;5;8;5;7;2
logo;12;14;7;5;2;8;3
17;4;7;21;9;4;5;3
sexto;10;4;9;4;5;3;15
realmente;12;2;4;8;5;7;11
principalmente;14;0;6;12;8;7;5
atualmente;6;6;9;11;3;8;7
