"";"x"
"1";1
"2";5
"3";2
"4";1
"5";1
"6";4
"7";1
"8";7
"9";1
"10";2
"11";1
"12";3
"13";1
"14";1
"15";1
"16";1
"17";1
"18";6
"19";2
"20";4
"21";3
"22";6
"23";6
"24";4
"25";6
"26";4
"27";6
"28";6
"29";6
"30";6
"31";6
"32";6
"33";4
"34";6
"35";6
"36";6
"37";6
"38";6
"39";6
"40";6
"41";6
"42";6
"43";6
"44";1
"45";6
"46";6
"47";6
"48";6
"49";6
"50";6
"51";4
"52";6
"53";4
"54";6
"55";2
"56";6
"57";6
"58";6
"59";6
"60";6
"61";6
"62";6
"63";1
"64";1
"65";6
"66";4
"67";1
"68";2
"69";2
"70";2
"71";2
"72";2
"73";2
"74";2
"75";2
"76";2
"77";5
"78";5
"79";5
"80";2
"81";2
"82";2
"83";2
"84";2
"85";2
"86";2
"87";2
"88";5
"89";5
"90";5
"91";1
"92";5
"93";4
"94";2
"95";4
"96";5
"97";5
"98";2
"99";5
"100";5
"101";5
"102";5
"103";1
"104";2
"105";5
"106";5
"107";5
"108";2
"109";2
"110";2
"111";4
"112";1
"113";2
"114";2
"115";2
"116";5
"117";5
"118";5
"119";2
"120";5
"121";5
"122";5
"123";2
"124";4
"125";2
"126";2
"127";2
"128";5
"129";4
"130";2
"131";2
"132";2
"133";2
"134";1
"135";1
"136";1
"137";2
"138";2
"139";5
"140";1
"141";1
"142";4
"143";1
"144";1
"145";1
"146";1
"147";1
"148";1
"149";1
"150";1
"151";1
"152";1
"153";1
"154";1
"155";1
"156";1
"157";1
"158";1
"159";1
"160";1
"161";1
"162";1
"163";1
"164";1
"165";1
"166";0
"167";6
"168";7
"169";7
"170";7
"171";4
"172";1
"173";2
"174";6
"175";2
"176";3
"177";3
"178";3
"179";2
"180";3
"181";3
"182";2
"183";5
"184";0
"185";1
"186";4
"187";4
"188";1
"189";7
"190";6
"191";6
"192";0
"193";2
"194";0
"195";6
"196";1
"197";6
"198";6
"199";6
"200";0
"201";4
"202";0
"203";1
"204";1
"205";6
"206";1
"207";2
"208";6
"209";6
"210";0
"211";4
"212";0
"213";0
"214";0
"215";0
"216";5
"217";5
"218";2
"219";5
"220";2
"221";5
"222";5
"223";5
"224";5
"225";5
"226";5
"227";5
"228";2
"229";5
"230";4
"231";5
"232";2
"233";5
"234";2
"235";5
"236";2
"237";5
"238";2
"239";2
"240";2
"241";3
"242";5
"243";2
"244";5
"245";5
"246";6
"247";6
"248";3
"249";6
"250";4
"251";4
"252";4
"253";6
"254";6
"255";6
"256";6
"257";6
"258";2
"259";4
"260";1
"261";6
"262";4
"263";1
"264";1
"265";6
"266";4
"267";1
"268";1
"269";1
"270";1
"271";7
"272";1
"273";3
"274";1
"275";1
"276";1
"277";1
"278";1
"279";2
"280";1
"281";1
"282";3
"283";1
"284";3
"285";4
"286";4
"287";1
"288";1
"289";1
"290";1
"291";1
"292";7
"293";1
"294";4
"295";4
"296";4
"297";0
"298";4
"299";0
"300";1
"301";1
"302";1
"303";1
"304";1
"305";1
"306";4
"307";1
"308";0
"309";1
"310";1
"311";1
"312";1
"313";0
"314";3
"315";5
"316";1
"317";5
"318";3
"319";4
"320";3
"321";3
"322";3
"323";6
"324";4
"325";1
"326";1
"327";4
"328";1
"329";6
"330";6
"331";2
"332";6
"333";0
"334";3
"335";3
"336";3
"337";3
"338";3
"339";3
"340";3
"341";6
"342";3
"343";6
"344";1
"345";6
"346";1
"347";6
"348";1
"349";3
"350";6
"351";4
"352";2
"353";1
"354";6
"355";6
"356";6
"357";6
"358";1
"359";1
"360";1
"361";4
"362";6
"363";6
"364";1
"365";1
"366";2
"367";1
"368";2
"369";4
"370";3
"371";2
"372";3
"373";2
"374";5
"375";5
"376";2
"377";2
"378";2
"379";2
"380";2
"381";2
"382";5
"383";1
"384";2
"385";2
"386";1
"387";1
"388";1
"389";4
"390";2
"391";2
"392";2
"393";3
"394";5
"395";1
"396";1
"397";2
"398";3
"399";2
"400";2
"401";2
"402";5
"403";2
"404";1
"405";6
"406";1
"407";6
"408";1
"409";6
"410";1
"411";6
"412";6
"413";6
"414";1
"415";2
"416";5
"417";1
"418";6
"419";6
"420";4
"421";6
"422";6
"423";6
"424";1
"425";3
"426";3
"427";3
"428";3
"429";3
"430";3
"431";3
"432";3
"433";5
"434";2
"435";3
"436";2
"437";2
"438";5
"439";3
"440";3
"441";3
"442";5
"443";5
"444";5
"445";1
"446";6
"447";3
"448";3
"449";3
"450";1
"451";1
"452";3
"453";5
"454";5
"455";1
"456";2
"457";2
"458";3
"459";5
"460";3
"461";2
"462";2
"463";2
"464";2
"465";5
"466";5
"467";5
"468";5
"469";5
"470";2
"471";5
"472";5
"473";2
"474";5
"475";2
"476";2
"477";5
"478";4
"479";5
"480";3
"481";3
"482";3
"483";3
"484";1
"485";5
"486";1
"487";4
"488";3
"489";1
"490";1
"491";1
"492";2
"493";2
"494";1
"495";1
"496";1
"497";4
"498";1
"499";1
"500";1
"501";1
"502";6
"503";6
"504";5
"505";2
"506";2
"507";2
"508";2
"509";5
"510";2
"511";2
"512";2
"513";2
"514";2
"515";5
"516";5
"517";5
"518";2
"519";2
"520";2
"521";2
"522";2
"523";5
"524";2
"525";2
"526";5
"527";5
"528";2
"529";5
"530";5
"531";5
"532";5
"533";1
"534";2
"535";5
"536";5
"537";5
"538";1
"539";5
"540";5
"541";5
"542";4
"543";1
"544";5
"545";5
"546";5
"547";5
"548";5
"549";5
"550";5
"551";5
"552";5
"553";5
"554";5
"555";5
"556";5
"557";5
"558";5
"559";5
"560";5
"561";5
"562";5
"563";2
"564";2
"565";2
"566";5
"567";5
"568";5
"569";5
"570";5
"571";5
"572";5
"573";5
"574";3
"575";3
"576";3
"577";3
"578";3
"579";2
"580";3
"581";3
"582";3
"583";3
"584";2
"585";3
"586";2
"587";3
"588";3
"589";3
"590";3
"591";3
"592";3
"593";3
"594";3
"595";2
"596";3
"597";3
"598";2
"599";3
"600";3
"601";3
"602";3
"603";3
"604";3
"605";3
"606";2
"607";2
"608";2
"609";3
"610";2
"611";2
"612";2
"613";2
"614";2
"615";3
"616";5
"617";5
"618";5
"619";2
"620";3
"621";2
"622";3
"623";3
"624";2
"625";3
"626";1
"627";6
"628";1
"629";1
"630";1
"631";1
"632";4
"633";1
"634";1
"635";1
"636";1
"637";1
"638";1
"639";1
"640";1
"641";1
"642";1
"643";1
"644";1
"645";1
"646";1
"647";1
"648";1
"649";1
"650";0
"651";1
"652";1
"653";1
"654";1
"655";1
"656";1
"657";1
"658";1
"659";1
"660";1
"661";1
"662";1
"663";1
"664";1
"665";1
"666";1
"667";1
"668";1
"669";1
"670";6
"671";6
"672";1
"673";1
"674";3
"675";6
"676";6
"677";6
"678";2
"679";6
"680";4
"681";4
"682";6
"683";6
"684";1
"685";6
"686";6
"687";1
"688";6
"689";2
"690";3
"691";2
"692";3
"693";2
"694";2
"695";2
"696";1
"697";1
"698";3
"699";2
"700";3
"701";6
"702";6
"703";6
"704";3
"705";3
"706";3
"707";3
"708";1
"709";4
"710";1
"711";2
"712";5
"713";2
"714";2
"715";2
"716";2
"717";2
"718";1
"719";1
"720";2
"721";3
"722";2
"723";6
"724";7
"725";0
"726";0
"727";0
"728";0
"729";0
"730";0
"731";6
"732";0
"733";1
"734";0
"735";0
"736";0
"737";0
"738";0
"739";0
"740";0
"741";0
"742";0
"743";6
"744";0
"745";0
"746";0
"747";0
"748";0
"749";0
"750";0
"751";0
"752";0
"753";0
"754";0
"755";0
"756";0
"757";0
"758";6
"759";0
"760";0
"761";0
"762";0
"763";0
"764";0
"765";0
"766";0
"767";0
"768";6
"769";0
"770";7
"771";7
"772";7
"773";7
"774";7
"775";7
"776";7
"777";7
"778";7
"779";7
"780";7
"781";7
"782";7
"783";7
"784";7
"785";7
"786";7
"787";7
"788";7
"789";7
"790";7
"791";7
"792";2
"793";2
"794";2
"795";2
"796";5
"797";5
"798";2
"799";2
"800";2
"801";2
"802";2
"803";2
"804";5
"805";2
"806";4
"807";2
"808";2
"809";2
"810";2
"811";2
"812";2
"813";2
"814";5
"815";2
"816";2
"817";5
"818";5
"819";5
"820";5
"821";5
"822";5
"823";5
"824";2
"825";5
"826";6
"827";7
"828";7
"829";1
"830";7
"831";1
"832";4
"833";4
"834";7
"835";7
"836";7
"837";1
"838";6
"839";6
"840";4
"841";4
"842";4
"843";1
"844";4
"845";1
"846";1
"847";1
"848";1
"849";7
"850";4
"851";1
"852";6
"853";1
"854";1
"855";7
"856";1
"857";2
"858";1
"859";3
"860";1
"861";1
"862";5
"863";3
"864";2
