"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2445";"12101";"20.2";"****";""
"  3";" 504";" 0.60";"-125.43";"coreia";"4.090080e-29"
"  5";" 450";" 1.11";"-105.69";"odebrecht";"8.633574e-25"
"  7";" 450";" 1.56";"-100.82";"delação";"1.005056e-23"
" 11";" 474";" 2.32";" -97.87";"norte";"4.472284e-23"
" 17";" 499";" 3.41";" -91.09";"rcifrão";"1.371903e-21"
" 44";" 681";" 6.46";" -84.54";"ex_presidente";"3.756473e-20"
"  3";" 350";" 0.86";" -83.68";"propina";"5.804425e-20"
" 19";" 484";" 3.93";" -82.87";"stf";"8.751007e-20"
"  8";" 363";" 2.20";" -75.21";"câmara";"4.224038e-18"
" 19";" 440";" 4.32";" -71.48";"deputado";"2.803010e-17"
" 35";" 551";" 6.35";" -68.71";"defesa";"1.139158e-16"
"  1";" 274";" 0.36";" -68.45";"míssil";"1.304215e-16"
"  7";" 325";" 2.15";" -67.50";"depoimento";"2.110763e-16"
" 60";" 708";" 8.47";" -64.18";"federal";"1.135029e-15"
"  4";" 281";" 1.42";" -62.94";"jbs";"2.129717e-15"
"  4";" 273";" 1.47";" -60.84";"nuclear";"6.200892e-15"
" 34";" 507";" 6.71";" -59.81";"operação";"1.046130e-14"
"120";"1071";"11.20";" -59.04";"afirmar";"1.546627e-14"
" 54";" 641";" 8.42";" -58.26";"lava_jato";"2.292634e-14"
" 10";" 311";" 3.22";" -57.15";"prisão";"4.043594e-14"
"  3";" 246";" 1.22";" -56.14";"pagamento";"6.753590e-14"
" 13";" 329";" 3.95";" -55.42";"advogado";"9.756540e-14"
" 10";" 302";" 3.31";" -54.83";"pedido";"1.315894e-13"
" 16";" 350";" 4.57";" -54.64";"sérgio_moro";"1.449134e-13"
" 44";" 553";" 7.96";" -53.92";"processo";"2.086801e-13"
" 66";" 694";" 9.51";" -52.23";"ministro";"4.934957e-13"
"  1";" 208";" 0.48";" -51.07";"tribunal";"8.917656e-13"
" 20";" 366";" 5.46";" -50.86";"eua";"9.900881e-13"
"  3";" 223";" 1.35";" -50.12";"relator";"1.445794e-12"
" 96";" 874";"10.98";" -49.68";"michel_temer";"1.809175e-12"
" 44";" 528";" 8.33";" -48.26";"acordo";"3.731323e-12"
"  9";" 266";" 3.38";" -47.73";"denúncia";"4.881034e-12"
"  1";" 191";" 0.52";" -46.63";"sírio";"8.594916e-12"
" 41";" 491";" 8.35";" -44.61";"decisão";"2.406979e-11"
" 25";" 377";" 6.63";" -44.47";"senador";"2.585707e-11"
"  0";" 173";" 0.00";" -44.44";"fachin";"2.621733e-11"
"  4";" 208";" 1.92";" -43.87";"apartamento";"3.503308e-11"
" 12";" 275";" 4.36";" -43.80";"nota";"3.638868e-11"
"  1";" 180";" 0.56";" -43.76";"petrobras";"3.718243e-11"
" 41";" 486";" 8.44";" -43.50";"empresa";"4.245133e-11"
"203";"1464";"13.87";" -41.51";"presidente";"1.174193e-10"
"  9";" 239";" 3.77";" -40.87";"prova";"1.628009e-10"
"  1";" 167";" 0.60";" -40.37";"mpf";"2.097085e-10"
"  6";" 207";" 2.90";" -39.12";"cunha";"3.977275e-10"
"  3";" 180";" 1.67";" -38.95";"delator";"4.352267e-10"
" 12";" 253";" 4.74";" -38.32";"porcento";"6.014996e-10"
" 30";" 384";" 7.81";" -37.78";"investigação";"7.935112e-10"
"  1";" 154";" 0.65";" -37.00";"kim";"1.181825e-09"
" 44";" 474";" 9.28";" -36.50";"justiça";"1.524755e-09"
"  1";" 152";" 0.66";" -36.48";"premiar";"1.541931e-09"
"158";"1166";"13.55";" -35.44";"lula";"2.632071e-09"
" 46";" 482";" 9.54";" -35.39";"pedir";"2.697370e-09"
"  1";" 147";" 0.68";" -35.19";"teste";"2.998044e-09"
"  7";" 196";" 3.57";" -34.19";"rodrigo";"5.001912e-09"
" 37";" 416";" 8.89";" -34.18";"receber";"5.012084e-09"
"  0";" 133";" 0.00";" -34.05";"pyongyang";"5.367970e-09"
"  8";" 203";" 3.94";" -33.87";"eduardo";"5.879708e-09"
" 20";" 295";" 6.78";" -33.80";"reforma";"6.098864e-09"
"  2";" 150";" 1.33";" -33.55";"oas";"6.945542e-09"
"  0";" 131";" 0.00";" -33.53";"triplex";"7.004394e-09"
" 38";" 419";" 9.07";" -33.38";"dinheiro";"7.569325e-09"
"  6";" 184";" 3.26";" -33.27";"negar";"8.014317e-09"
"  1";" 138";" 0.72";" -32.86";"réu";"9.923108e-09"
" 38";" 415";" 9.16";" -32.54";"juiz";"1.170147e-08"
" 10";" 213";" 4.69";" -32.35";"condenar";"1.286895e-08"
"  5";" 170";" 2.94";" -31.87";"ex_ministro";"1.645404e-08"
"  9";" 203";" 4.43";" -31.85";"executivo";"1.662781e-08"
"  5";" 168";" 2.98";" -31.37";"janot";"2.137241e-08"
" 24";" 313";" 7.67";" -31.33";"empresário";"2.182300e-08"
" 52";" 501";"10.38";" -31.30";"ministério";"2.214897e-08"
" 13";" 231";" 5.63";" -31.04";"informar";"2.529739e-08"
" 28";" 338";" 8.28";" -30.65";"unido";"3.093056e-08"
"  6";" 173";" 3.47";" -30.49";"instância";"3.349837e-08"
" 19";" 273";" 6.96";" -30.39";"recurso";"3.529932e-08"
"  1";" 128";" 0.78";" -30.27";"lavagem";"3.752772e-08"
" 17";" 257";" 6.61";" -30.08";"valor";"4.146824e-08"
" 28";" 333";" 8.41";" -29.56";"americano";"5.433877e-08"
"  2";" 132";" 1.52";" -28.91";"empreiteiro";"7.565260e-08"
"  3";" 140";" 2.14";" -28.66";"acusar";"8.624453e-08"
