"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;1
"2";0;0;0;5;5;5;5;5;5
"3";0;0;0;0;0;2;2;2;2
"4";0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;0;0;1
"6";0;0;0;0;4;4;4;4;4
"7";0;0;0;0;0;0;0;0;1
"8";7;7;7;7;7;7;7;7;7
"9";0;0;0;0;0;0;0;0;1
"10";0;0;0;0;0;2;2;2;2
"11";0;0;0;0;0;0;0;0;1
"12";0;0;0;0;0;3;3;3;3
"13";0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;0;0;0;1
"16";0;0;0;0;0;0;0;0;1
"17";0;0;0;0;0;0;0;0;1
"18";0;0;6;6;6;6;6;6;6
"19";0;0;0;0;0;2;2;2;2
"20";0;0;0;0;4;4;4;4;4
"21";0;0;0;0;0;3;3;3;3
"22";0;0;6;6;6;6;6;6;6
"23";0;0;6;6;6;6;6;6;6
"24";0;0;0;0;4;4;4;4;4
"25";0;0;6;6;6;6;6;6;6
"26";0;0;0;0;4;4;4;4;4
"27";0;0;6;6;6;6;6;6;6
"28";0;0;6;6;6;6;6;6;6
"29";0;0;6;6;6;6;6;6;6
"30";0;0;6;6;6;6;6;6;6
"31";0;0;6;6;6;6;6;6;6
"32";0;0;6;6;6;6;6;6;6
"33";0;0;0;0;4;4;4;4;4
"34";0;0;6;6;6;6;6;6;6
"35";0;0;6;6;6;6;6;6;6
"36";0;0;6;6;6;6;6;6;6
"37";0;0;6;6;6;6;6;6;6
"38";0;0;6;6;6;6;6;6;6
"39";0;0;6;6;6;6;6;6;6
"40";0;0;6;6;6;6;6;6;6
"41";0;0;6;6;6;6;6;6;6
"42";0;0;6;6;6;6;6;6;6
"43";0;0;6;6;6;6;6;6;6
"44";0;0;0;0;0;0;0;0;1
"45";0;0;6;6;6;6;6;6;6
"46";0;0;6;6;6;6;6;6;6
"47";0;0;6;6;6;6;6;6;6
"48";0;0;6;6;6;6;6;6;6
"49";0;0;6;6;6;6;6;6;6
"50";0;0;6;6;6;6;6;6;6
"51";0;0;0;0;4;4;4;4;4
"52";0;0;6;6;6;6;6;6;6
"53";0;0;0;0;4;4;4;4;4
"54";0;0;6;6;6;6;6;6;6
"55";0;0;0;0;0;2;2;2;2
"56";0;0;6;6;6;6;6;6;6
"57";0;0;6;6;6;6;6;6;6
"58";0;0;6;6;6;6;6;6;6
"59";0;0;6;6;6;6;6;6;6
"60";0;0;6;6;6;6;6;6;6
"61";0;0;6;6;6;6;6;6;6
"62";0;0;6;6;6;6;6;6;6
"63";0;0;0;0;0;0;0;0;1
"64";0;0;0;0;0;0;0;0;1
"65";0;0;6;6;6;6;6;6;6
"66";0;0;0;0;4;4;4;4;4
"67";0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;2;2;2;2
